Hyllpaikka,Tekijä,Nimeke,Lainojen lkm.,ISBN/ISSN,Julkaisuvuosi
"84.2, 84.2 FA, 84.2 Fan, 84.2 FAN, 84.2 NO, 84.2F","Rowling, J. K.",Harry Potter ja puoliverinen prinssi,994,951-31-3507-1,2006-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 JÄ","Leon, Donna.",Uskon asia : komisario Guido Brunettin tutkimuksia,993,978-951-1-25935-0,2012-01-01
"84.2, 84.2 RO","Orkoma, Marja.",Puistotie 4,984,978-951-883-344-7,2012-01-01
"84.2, 84.2 KU, 85.11, 85.2, 85.22, 85.22 KU","Wieslander, Jujja.","Lehmä, joka tahtoi keinua",982,951-873-426-7,1993-01-01
"84.2, 84.2 H , 84.2 HE, 84.2 HELP, 84.2 Hev, 84.2 HEVOS","Hallberg, Lin.","Aprillia, Sinttu",978,978-951-31-5249-9,2010-01-01
"84.2, 84.2 H , 84.2 HELP, 84.2 HL, 85","Pilkey, Dav.","Kapteeni Kalsarin ja Sähköräkäjätkän iso paha taistelu. 2. osa, Roimien Roboräkien kosto",978,951-31-3148-3,2004-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2 JÄN, Jännitys","Lupton, Rosamund.",Sisar,977,978-951-20-8755-6,2012-01-01
"84.2, 84.2 R, 84.2 RO","Cookson, Catherine.",Äidin silmäterä,975,978-951-20-8549-1,2011-01-01
"84.2, 84.2 H , 84.2 HELP, 84.2 HL, 85","Pilkey, Dav.",Kapteeni Kalsari seikkailee,975,951-31-2380-4,2002-01-01
"84.2, 84.2 H, 84.2 HE, 84.2 HELP, 84.2 Hev, 84.2 HEVOS","Hallberg, Lin.","Kiva leiri, Sinttu",972,978-951-31-5250-5,2010-01-01
84.2,"Tuuri, Antti.",Ikitie : romaani,971,978-951-1-23816-4,2011-01-01
"84.2, 84.2 RO","Green, Jane.",Vuosi maalla,970,978-951-23-5461-0,2012-01-01
"84.2, 84.2 D, 84.2 J, 84.2 JÄ, 84.2 JÄN","Child, Lee.",Linnoitus,970,978-951-23-5457-3,2011-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 J, 84.2 JÄ","Nesser, Håkan.",Sukujuhlat : romaani,969,978-951-31-5913-9,2011-01-01
84.2,"Mankell, Henning.",Likainen enkeli,969,978-951-1-24868-2,2011-01-01
"84.2, 84.2 H , 84.2 HELP, 84.2 HELPPO, 84.2 HL, 85","Parvela, Timo.",Ella ja Äf Yksi,965,978-951-31-4315-2,2008-01-01
84.2,"Pättikangas, Eira.",Jäljet veräjällä,959,978-951-23-5445-0,2011-01-01
"05.1, 65.051, 79.15051",,Taika : askartelun erikoislehti.,956,1796-5993,2006-01-01
"84, 84.2, 84.2 D, 84.2 Dek, 84.2 DEK, 84.2 J, 84.2 JÄ","Pakkanen, Outi.",Muistivirhe,952,978-951-1-23844-7,2009-01-01
84.2,"Forsgren, Carita.",Perintö,951,978-951-1-26040-0,2012-01-01
84.2,"Rissanen, Pirjo.",Muistot,950,978-951-20-8127-1,2010-01-01
"84.2, 84.2 KU, 85.11, 85.22, 85.22 KU","Knutsson, Gösta.",Pekka Töpöhäntä urheilukilpailuissa,950,951-20-3974-5,1992-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 JÄ","Läckberg, Camilla.",Majakanvartija,950,978-951-20-8808-9,2012-01-01
"84.2, 84.2 H , 84.2 HELP, 84.2 HL, 85","Pilkey, Dav.",Kapteeni Kalsari ja Hurjan Hierrenaisen hirmutuuli,948,951-31-2933-0,2004-01-01
"84.2, 84.2 D, 84.2 J, 84.2 JÄ, 84.2 Jän, 84.2 JÄN","Mankell, Henning.",Savuna ilmaan,947,978-951-1-23943-7,2010-01-01
"84.2, 84.2 R, 84.2 RO","Steel, Danielle.",Kunnioita itseäsi,946,978-951-0-37192-3,2011-01-01
84.2,"Hassinen, Pirjo.",Rouva,945,978-951-1-25420-1,2011-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 JÄ, 84.2 Jän","Arhippa, Pirkko.",Kipunuora : jännitysromaani,941,978-951-883-138-2,2010-01-01
"84.2, 84.2 RO, 84.2 Vii, 84.2R","Kivelä, Anneli.",Salaisuuksia Katajamäellä,941,978-951-23-5241-8,2010-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2 JÄN","Frimansson, Inger.",Kylmä maa,940,978-952-01-0727-7,2012-01-01
"84.2, 84.2 H , 84.2 Hel, 84.2 HELP, 84.2 HELPPO, 84.2 HL, 85","Pilkey, Dav.",Kapteeni Kalsari ja violetin vessan väen vinha vahinko,938,978-951-31-3831-8,2007-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2 JÄN","Fossum, Karin.",Minä näen pimeässä,937,978-951-0-39012-2,2012-01-01
05.1,,Cosmopolitan.,935,1456-5234,1999-01-01
"84.2, 84.2 NOV, 84.2 Novellit","Nopola, Sinikka.",Matkustan melko harvoin ja muita kirjoituksia,933,978-951-0-39078-8,2012-01-01
"84.2, 84.2 KU, 85.11, 85.22, 85.22 KU","Nordqvist, Sven.",Viiru ja Pesonen kettujahdissa,933,978-951-31-0394-1,1994-01-01
"84.2, 84.2 KU, 85.22, 85.22 KU","Wieslander, Jujja.",Lehmä kelkkamäessä,930,951-873-463-1,1994-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 JÄ","Ropponen, Markku.",Kuhala ja vanginvartijan mandoliini,926,978-951-31-6031-9,2011-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2 JÄN","Fielding, Joy.",Henkeäsalpaava,926,978-951-0-38705-4,2012-01-01
"84.2, 84.2 FA, 84.2 Fan, 84.2 FAN, 84.2 NO, 85","Rowling, J. K.",Harry Potter ja kuoleman varjelukset,922,978-951-31-4004-5,2008-01-01
"84.2, 84.2 FA, 84.2 Fan, 84.2 FAN, 84.2 NO, 84.2F","Rowling, J. K.",Harry Potter ja Azkabanin vanki,921,951-31-1737-5,2000-01-01
"84.2, 84.2 H , 84.2 HELP, 84.2 HL, 84.2 TYTTÖ, 85","Parvela, Timo.",Ella ja jättipotti,921,978-951-31-4943-7,2009-01-01
"84.2, 84.2 D, 84.2 J, 84.2 JÄ, 84.2 JÄN","Grisham, John.",Tunnustus,919,978-951-0-38020-8,2011-01-01
"52 Scifi, 62.56, 77.4, 77.49, 77.4983, 79.8","Dowsett, Elizabeth.",Jedien salaisuudet,919,978-951-0-38201-1,2011-01-01
"84.2, 85.22, 85.22 KU","Nopola, Tiina.",Siiri tekee maalin,918,978-951-31-5932-0,2011-01-01
"84.2, 84.2 KU, 85.2, 85.22, 85.22 KU","Nordqvist, Sven.",Viirun ja Pesosen kylvöpuuhat,915,951-30-9514-2,1990-01-01
"84.2, 84.2 H , 84.2 HELP, 84.2 HELPPO, 84.2 HL, 85","Pilkey, Dav.",Kapteeni Kalsari ja puhuvat pöntöt,912,951-31-2381-2,2002-01-01
"84.2, 84.2 H , 84.2 HELP, 84.2 HL, 84.2 TYTTÖ, 85","Parvela, Timo.",Ella : varokaa lapsia!,912,951-31-3685-X,2006-01-01
84.2,"Nicholls, David.",Sinä päivänä,911,978-951-1-25109-5,2011-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2 JÄN","Dahl, Arne.",Valvova silmä,906,978-951-1-24837-8,2012-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 JÄ, 84.2 Jän","Sipilä, Jarkko.",Katumurha,906,978-951-20-8335-0,2010-01-01
"84.2, 84.2 FA, 84.2 Fan, 84.2 FAN, 84.2 NO, 84.2F, 85","Rowling, J. K.",Harry Potter ja liekehtivä pikari,898,951-31-2038-4,2001-01-01
84.2,"Jacobs, Kate.",Lohturuokaa,897,978-951-20-8530-9,2011-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2 JÄN","Nuotio, Eppu.",Loppu : romaani,897,978-951-1-25144-6,2011-01-01
84.2,"Paavilainen, Ulla-Maija.",Kummitäti : romaani,894,978-951-1-25512-3,2011-01-01
"84.2, 84.2 H, 84.2 HELP, 84.2 HELPPO, 84.2 HL, 84.2H","Kallioniemi, Tuula.",Kaahailua ja kepposia,893,978-951-1-25347-1,2011-01-01
"84.2, 84.2 D, 84.2 Dek, 84.2 DEK, 84.2 JÄ","Lehtolainen, Leena.",Väärän jäljillä,890,978-951-31-4288-9,2008-01-01
"84, 84.2, 84.2 D, 84.2 DEK, 84.2 JÄ","Lehtolainen, Leena.",Viimeinen kesäyö ja muita kertomuksia,889,951-31-3709-0,2006-01-01
"84.2, 85.11, 85.22, 85.22 KU","Nordqvist, Sven.",Viiru kateissa,886,978-951-31-2126-6,2001-01-01
"84.2, 84.2 KU, 85.11, 85.22, 85.22 KU","Míler, Zdeněk.",Myyrän raketti,885,951-31-2006-6,2004-01-01
"84.2, 84.2 H, 84.2 HE, 84.2 HELP, 84.2 HEVOS","Hallberg, Lin.",Eppu etsii kotia,884,978-951-31-6495-9,2012-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 JÄ","Jansson, Anna.",Murhan alkemia,882,978-951-20-8783-9,2012-01-01
84.2,"Chamberlain, Diane.",Saran totuus,880,978-951-0-37776-5,2011-01-01
"84.2, 84.2 KU, 85.22, 85.22 KU","Míler, Zdeněk.",Myyrän auto,880,951-31-1712-X,1999-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2 Jän, 84.2 JÄN","Remes, Ilkka.",Shokkiaalto,880,978-951-0-36724-7,2010-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 JÄ","Atkinson, Kate.",Ihan tavallisena päivänä,878,978-951-50-2112-0,2011-01-01
"84.2, 84.2 KU, 85.11, 85.22, 85.22 KU, 85.22F","Kunnas, Mauri.",Seitsemän koiraveljestä : koiramainen versio Aleksis Kiven romaanista Seitsemän veljestä,876,951-1-18100-9,2002-01-01
"84.2, 84.2 RO","Luhtanen, Sari.",Tuulin viemää,875,978-951-31-6033-3,2011-01-01
"84.2, 84.2 RO","Roberts, Nora.",Jotain lainattua,875,978-951-20-8225-4,2011-01-01
"03, 03 F",Guinness world records 2011,Guinness world records 2011,872,978-951-32-2996-2,2010-01-01
"84.2, 84.2 H, 84.2 Hel, 84.2 HELP, 84.2 HELPPO, 85.12 LA","Nopola, Sinikka.",RR kuin Risto Räppääjä,872,978-951-31-5718-0,2010-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 JÄ, 84.2 Jän","Mäki, Reijo.",Kolmijalkainen mies,865,978-951-1-24360-1,2010-01-01
05.1,,Olivia.,863,1796-7066,2007-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 JÄ","Leon, Donna.",Kasvot kuvassa : komisario Guido Brunettin tutkimuksia,863,978-951-1-25010-4,2011-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 JÄ","James, P. D.",Murhaajan mieli,862,978-951-1-24834-7,2011-01-01
"84.2, 84.2 D, 84.2 J, 84.2 JÄ, 84.2 JÄN","Connelly, Michael.",Täyskäännös,860,978-951-20-8396-1,2011-01-01
84.2,"Oranen, Raija.",Nimeltään Kekkonen,859,978-951-851-365-3,2011-01-01
"84.2, 84.2 D, 84.2 J, 84.2 JÄ, 84.2 JÄN","Roslund, Anders.",Kolme sekuntia,859,978-951-0-38040-6,2011-01-01
"84.2, 84.2 H , 84.2 HELP, 84.2 HL, 84.2 TYTTÖ, 84.2B, 85","Parvela, Timo.",Ella ja seitsemän törppöä,857,978-951-31-3895-0,2007-01-01
"84.2, 84.2 KU, 85.11, 85.2, 85.22, 85.22 KU, 85.22F","Nordqvist, Sven.",Viiru ja Pesonen telttaretkellä,855,951-31-0098-7,1993-01-01
"84.2, 85.11, 85.2, 85.22, 85.22 KU","Kunnas, Mauri.","Hyvää yötä, herra Hakkarainen",855,951-1-16152-0,1999-01-01
84.2,"Hietamies, Eve.",Yösyöttö,852,978-951-1-24221-5,2010-01-01
"84.2, 84.2 D, 84.2 J, 84.2 JÄ, 84.2 JÄN","Soininvaara, Taavi.",Punainen jättiläinen,851,978-951-1-25421-8,2011-01-01
05.1,,Valitut palat.,851,0042-2290,1945-01-01
84.2,"Donoghue, Emma.",Huone,851,978-951-31-6222-1,2012-01-01
"84.2, 84.2 D, 84.2 J, 84.2 JÄ, 84.2 JÄN","Smith, Wilbur.",Vaaran vesillä,850,978-951-1-25740-0,2011-01-01
"84.2, 84.2 D, 84.2 J, 84.2 JÄ, 84.2 JÄN","Lönn, Pasi.",Viimeinen tili,850,978-951-31-6278-8,2011-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 JÄ, 84.2 Jän","Holt, Anne.",Kasvoton tuomio,848,978-951-20-8170-7,2010-01-01
"84.2, 84.2 H , 84.2 HELP, 84.2 HL, 84.2 TYTTÖ, 85","Parvela, Timo.",Ella aalloilla,848,951-31-3437-7,2005-01-01
"84.2, 84.2 RO","Romppainen, Katariina.",Mustikkasoppa,847,978-951-23-5449-8,2011-01-01
"84.2, 84.2 Fan, 84.2 FAN, 84.2 NO, 84.2F, 84.2Fan","Rowling, J. K.",Harry Potter ja Feeniksin kilta,846,978-951-31-2907-1,2004-01-01
84.2,"Noble, Elizabeth.",Naapurin tyttö,846,978-951-23-5301-9,2011-01-01
"05.1, Lainattavat lehdet",,Trendi.,844,0786-9282,1989-01-01
"84.2, 85.22, 85.22 KU","Nopola, Tiina.",Siiri ja kauhea kummitus,844,978-951-31-5689-3,2010-01-01
"84.2, 84.2 D, 84.2 J, 84.2 JÄ, 84.2 JÄN","Cussler, Clive.",Puolikuu nousee,838,978-951-0-38093-2,2011-01-01
68.4051,,Divaani.,838,1797-4879,2008-01-01
"84.2, 84.2 KU, 85.11, 85.2, 85.22, 85.22 KU","Knutsson, Gösta.",Pekka Töpöhäntä teatterissa,838,951-20-3982-6,2001-01-01
"84, 84.2, 84.2 RO, 84.2R","Utrio, Kaari.",Vaitelias perillinen,832,978-951-31-4800-3,2009-01-01
"84.2, 84.2 RO","Roberts, Nora.",Avaimet onneen,831,978-951-20-8809-6,2012-01-01
"820-3, 84.2","Hustvedt, Siri.",Kesä ilman miehiä,829,978-951-1-25196-5,2011-01-01
84.2,"Kelly, Cathy.",Onnen ainekset,826,978-951-20-8398-5,2011-01-01
"05.1, 40, 40.051, 40.7051",,Matkalehti : loma- & liikematkailun erikoislehti.,826,1239-1018,1996-01-01
"84.2, 84.2  Help, 84.2 H , 84.2 Hel, 84.2 HELP, 84.2 HELPPO, 84.2 HL, 85","Pilkey, Dav.",Kapteeni Kalsari ja ulkoavaruuden uskomattoman keljut keittiöntädit (ja ruokalan ihan yhtä ilkeät zombinynnyt),822,951-31-2699-4,2003-01-01
"84.2, 84.2 KU, 85.11, 85.22, 85.22 KU, 85.22F","Kunnas, Mauri.",Yökirja eli mitä kaikkea tapahtuukaan yöllä,821,951-1-08044-X,1984-01-01
"84, 84.2, 84.2 D, 84.2 DEK, 84.2 JÄ, 84.2D","Jokinen, Seppo.",Hukan enkelit,821,978-951-23-4229-7,2001-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 JÄ","Kilpi, Marko.",Elävien kirjoihin,819,978-951-20-8358-9,2011-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2 JÄN","Slaughter, Karin.",Pettävä hiljaisuus,817,978-951-31-6037-1,2012-01-01
"84.2, 84.2 RO","Luhtanen, Sari.",Kaikkea kaunista,810,978-951-31-6599-4,2012-01-01
"84.2, 84.2 H , 84.2 HELP, 84.2 HL, 85","Parvela, Timo.",Ella Lapissa,807,951-31-2874-1,2003-01-01
"84.2, 84.2 RO, 84.2 Vii, 84.2R","Roberts, Nora.",Jotain uutta,806,978-951-20-8134-9,2010-01-01
"84.2, 84.2 NA, 84.2 SCI, 84.2 Scifi","Collins, Suzanne.",Nälkäpeli. Matkijanärhi,803,978-951-0-35830-6,2010-01-01
"84.2, 84.2 KU, 85.11, 85.2, 85.22, 85.22 KU","Knutsson, Gösta.",Pekka Töpöhäntä Amerikassa,802,951-20-3981-8,1992-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2 JÄN","Patterson, James.",Paha Mary,798,978-951-0-35839-9,2011-01-01
"84, 84.2, 84.2 R, 84.2 RO, 84.2 Rom, 84.2R","Mustonen, Enni.",Morsiuskesä,794,978-951-1-23839-3,2009-01-01
"84.2, 84.2 D, 84.2 J, 84.2 JÄ, 84.2 Jän, 84.2 JÄN","Marklund, Liza.",Postikorttimurhat,791,978-951-1-24170-6,2010-01-01
"05.1, 62.54051",,Vene.,788,,1966-01-01
"85.22, 85.22 KU","Kaarla, Riina.",Täältä tulee Pikku Myy : villit vieraat,788,978-951-31-6265-8,2011-01-01
84.2,"Alvtegen, Karin.",Todennäköinen tarina,786,978-951-0-37945-5,2012-01-01
"84.2, 85.11, 85.2, 85.22, 85.22 KU, 85.22F","Nordqvist, Sven.",Viirun syntymäpäivät,784,951-31-0393-5,1994-01-01
"84.2, 84.2 H , 84.2 HELP, 84.2 HL, 85","Pilkey, Dav.","Kapteeni Kalsarin ja Sähköräkäjätkän iso paha taistelu. 1. osa, Siivottomien sierainmöykkyjen yö",784,951-31-3147-5,2004-01-01
"84.2, 84.2 D, 84.2 J, 84.2 JÄ, 84.2 JÄN","Frimansson, Inger.",Pahaa pelkäämättä,784,978-952-01-0549-5,2011-01-01
"84, 84.2, 84.2 D, 84.2 DEK, 84.2 JÄ, 84.2D","Jokinen, Seppo.",Piripolkka,783,951-23-4320-7,2002-01-01
"84.2, 84.2 RO, 84.2 Vii, 84.2R","Orkoma, Marja.",Unikkopolku 21,782,978-951-883-080-4,2010-01-01
"84.2, 84.2 KU, 85.11, 85.2, 85.22, 85.22 KU","Knutsson, Gösta.",Pekka Töpöhäntä tivolissa,780,951-20-3975-3,1992-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 JÄ, Jännitys","Dahl, Kjell Ola.",Hyiseen veteen,777,978-952-01-0728-4,2012-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 JÄ","Rosman, Ann.",Noitavasara,777,978-952-5637-90-8,2012-01-01
"84.2, 84.2 HELP, 84.2 HELPPO, 84.2 HL, 84.2B, 85.11, 85.12, 85.12 H","Goodhart, Pippa.",Jojon syntymäpäivä,776,951-882-517-3,2005-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 J, 84.2 JÄ","Edwardson, Åke.",Joudu jo sieluni,772,978-952-01-0653-9,2011-01-01
"05.1, 65, 65.051",,Taito : käsi- ja taideteollisuuslehti,771,1235-6875,1991-01-01
"84.2, 84.2 R, 84.2 RO, 84.2R","Roberts, Nora.",Jotain vanhaa,770,978-951-20-8224-7,2010-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 JÄ","Nesser, Håkan.",Kokonaan toinen juttu : rikosromaani,768,978-951-31-6122-4,2012-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2 JÄN","Sjögren, Annika.",Mereltä käy myrsky,768,978-952-01-0636-2,2011-01-01
"84.2, 84.2 RO, 84.2 Rom, 84.2R","Roberts, Nora.",Unelmien aika,764,978-951-20-7859-2,2009-01-01
84.2,"Rask, Regina.",Jouluihminen,763,978-951-1-25422-5,2011-01-01
"84.2, 84.2 KU, 85.11, 85.2, 85.22, 85.22 KU","Kunnas, Mauri.",Majatalon väki ja kaappikellon kummitukset,762,951-1-14424-3,1996-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2 JÄN","Child, Lee.",Henkensä kaupalla,762,978-951-23-5381-1,2011-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2 JÄN","Howard, Linda.",Vieressä ja vaarassa,761,978-951-0-37775-8,2011-01-01
"84, 84.2, 84.2 RO, 84.2 Vii, 84.2R","Lehtinen, Tuija.",Suklaapolkuja,761,978-951-1-23006-9,2008-01-01
"84, 84.2","Pättikangas, Eira.",Olkileijona murisee,760,951-23-3575-1,1996-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 J, 84.2 JÄ, 84.2 Jän, 84.2J","Nykänen, Harri.",Paha paha tyttö,759,978-952-92-7216-7,2010-01-01
"84.2, 85.22, 85.22 KU","Harjanne, Maikki.",Minttu ja mummo,759,978-951-1-24281-9,2010-01-01
"84.2, 84.2 KU, 85.11, 85.22, 85.22 KU","Kunnas, Mauri.",Kaikkien aikojen avaruuskirja,758,978-951-1-21600-1,2007-01-01
"84.2, 85.22, 85.22 KU","Kunnas, Mauri.",Yötarinoita,756,978-951-1-25118-7,2010-01-01
"84.2, 84.2 D, 84.2 J, 84.2 JÄ, 84.2 JÄN","Dahl, Arne.",Jälkijäristys,755,978-951-1-24836-1,2011-01-01
"84.2, 84.2 H, 84.2 HELP, 84.2 HL, 84.2 TYTTÖ, L84.2","Parvela, Timo.",Ella ja kadonnut karttakeppi,754,978-951-31-5996-2,2012-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 JÄ, 84.2 Jän","Läckberg, Camilla.",Perillinen,754,978-951-50-1990-5,2010-01-01
"84.2, 85.11, 85.2, 85.22, 85.22 KU","Bergström, Gunilla.",Mikko Mallikas ja syntymäpäiväkutsut,753,978-951-31-4823-2,2009-01-01
"84.2, 84.2 H, 84.2 HELP, 84.2 POIKA, 85.12 LA","Kallioniemi, Tuula.","Konsta, talenttitähti",753,978-951-1-25225-2,2011-01-01
"05.1, 79, 79.1051, 79.5",,Urheilulehti,753,0355-6085,1898-01-01
"84, 84.2, 84.2 RO, 84.2 Vii, 84.2R","Kivelä, Anneli.",Uusia tuulia Katajamäellä,752,978-951-23-4950-0,2008-01-01
84.2,"Coelho, Paulo.",Alef,751,978-952-5637-63-2,2011-01-01
"84, 84.2, 84.2 D, 84.2 DEK, 84.2 JÄ, 84.2D","Jokinen, Seppo.",Koskinen ja kreikkalainen kolmio,750,951-23-4089-5,2000-01-01
"84.2, 84.2 KU, 85.11, 85.22, 85.22 KU, 85.22F","Harjanne, Maikki.",Minttu prinsessana,750,978-951-1-22235-4,2009-01-01
"84.2, 84.2 KU, 84.2F, 85.11, 85.22, 85.22 KU","Kunnas, Mauri.",Ujo Elvis,749,951-1-18988-3,2003-01-01
"84.2, 99.1","Ehrnrooth, Karin.",Vinoon varttunut tyttö,746,978-951-20-8606-1,2011-01-01
"84.2, 84.2 H, 84.2 HELP, 84.2 HELPPO, 85.12 LA","Nopola, Sinikka.",Risto Räppääjä ja nukkavieru Nelli,743,978-951-31-6874-2,2012-01-01
"84, 84.2, 84.2 D, 84.2 Dek, 84.2 DEK, 84.2 J, 84.2 JÄ","Sipilä, Jarkko.",Seinää vasten,743,978-951-20-7810-3,2008-01-01
84.2,"Hämäläinen, Simo.",Kätkäläinen ja musta koira,742,978-951-20-8602-3,2011-01-01
"84.2, 84.2 KU, 85.11, 85.112, 85.22, 85.22 KU","Kunnas, Mauri.",Vampyyrivaarin tarinoita,741,951-1-11854-4,1991-01-01
"84.2, 84.2 RO, 84.2 Vii, 84.2R","Kivelä, Anneli.",Katajamäellä kuohuu,741,978-951-23-5080-3,2009-01-01
"84.2, 84.2 D, 84.2 J, 84.2 JÄ, 84.2 JÄN","Reichs, Kathy.",Luita ja tuhkaa,739,978-951-0-35556-5,2011-01-01
"84, 84.2, 84.2 JÄ","Lehtolainen, Leena.",Luonas en ollutkaan,739,978-951-31-3861-5,2007-01-01
"84.2, 84.2 KU, 85.11, 85.2, 85.22, 85.22 KU, 85.22F","Kunnas, Mauri.","Etusivun juttu, eli, Kuinka sanomalehti syntyy",739,978-951-1-11442-0,1990-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2 JÄN","Bauer, Belinda.",Tappajan katse,738,978-951-23-5489-4,2012-01-01
"84, 84.2, 84.2 RO, 84.2 Vii, 84.2R","Kivelä, Anneli.",Onnenkauppaa Katajamäellä,737,978-951-23-4893-0,2007-01-01
"84.2, 84.2 KU, 85.11, 85.22, 85.22 KU, 85.22F","Kunnas, Mauri.",Hui kauhistus!,737,978-951-1-08578-2,1985-01-01
84.2,"Pulkkinen, Riikka.",Vieras,737,978-951-1-25640-3,2012-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2 JÄN","Brown, Sandra.",Kova luu,736,978-951-31-6654-0,2012-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2 JÄN","Lapidus, Jens.",Luksuselämää,736,978-952-01-0257-9,2011-01-01
"84.2, 84.2 D, 84.2 J, 84.2 JÄ, 84.2 JÄN","Slaughter, Karin.",Kivun jäljet,736,978-951-31-5768-5,2011-01-01
"84.2, 84.2 RO","Steel, Danielle.",Päivä kerrallaan,735,978-951-0-38874-7,2012-01-01
"85.22, 85.22 KU","Bergström, Gunilla.",Mikko Mallikas on kuningas,734,978-951-31-6642-7,2012-01-01
"84.2, 84.2 Rom","Havaste, Paula.",Kaksi rakkautta,734,978-951-20-8206-3,2010-01-01
"84.2, 85.22, 85.22 KU","Harjanne, Maikki.",Minttu morsiusneitona,733,978-951-1-24734-0,2011-01-01
"84.2, 84.2 KU, 85.11, 85.22, 85.22 KU","Knutsson, Gösta.",Pekka Töpöhäntä suksilla,733,951-20-3971-0,1992-01-01
"03, 03F",Guinness world records 2010,Guinness world records 2010,732,978-951-32-2698-5,2009-01-01
"84, 84.2, 84.2 D, 84.2 DEK, 84.2 JÄ, 84.2 Jän, 84.2J","Rönkä, Matti.",Tuliaiset Moskovasta,731,978-951-20-7988-9,2009-01-01
"84, 84.2, 84.2 D, 84.2 DEK, 84.2 J, 84.2 JÄ, 84.2 Jän, 84.2J","Nesbø, Jo.",Torakat,730,978-951-0-34900-7,2009-01-01
"84.2, 84.2 D, 84.2 J, 84.2 JÄ, 84.2 JÄN","Child, Lincoln.",Kuoleman algoritmi,728,978-951-20-8557-6,2011-01-01
"84.2, 84.2 R, 84.2 RO","Dillon, Lucy.",Eksyneiden sydänten koti,728,978-951-20-8239-1,2011-01-01
"05.1, 61, 61.051",,Tietokone.,728,0359-4947,1982-01-01
"84, 84.2, 84.2 R, 84.2 RO, 84.2 Rom, 84.2R","Roberts, Nora.",Unelmien voima,726,978-951-20-7860-8,2009-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2 JÄN","Rönnbacka, Christian.",Operaatio Troijalainen,726,978-952-5637-71-7,2012-01-01
"84.2, 84.2 KU, 85.11, 85.2, 85.22, 85.22 KU, 85.22F","Nordqvist, Sven.",Viiru puijaa Pesosta,725,978-951-31-0340-8,1994-01-01
"84, 84.2","Härkönen, Anna-Leena.",Ei kiitos,724,978-951-1-22921-6,2008-01-01
"84.2, 84.2 KU, 85.11, 85.22, 85.22 KU, 85.22F","Nopola, Tiina.",Siiri ja hurja Hunskeli,722,978-951-31-3900-1,2008-01-01
"84.2, 84.2 KU, 85.11, 85.22, 85.22 KU, 85.22F","Kunnas, Mauri.",Seitsemän tätiä ja aarre,722,951-1-19739-8,2004-01-01
"84.2, 84.2 D, 84.2 J, 84.2 JÄ, 84.2 JÄN","Numminen, Juha.",Räjähdyspiste : rikosromaani,721,978-952-5918-28-1,2011-01-01
"84.2, 84.2 KU, 85.11, 85.22, 85.22 KU, 85.22F","Nopola, Tiina.",Siiri ja kamala possu,721,9789513134174,2005-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 JÄ","Mina, Denise.",Ampiaiskesä,721,978-952-01-0641-6,2012-01-01
84.2,"Marttinen, Annamari.",Ero,720,978-951-31-6288-7,2011-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 J, 84.2 JÄ","Hjorth, Michael.",Mies joka ei ollut murhaaja,719,978-952-5637-37-3,2011-01-01
"05.1, 67.452051",,Kissafani.,718,1236-4525,1992-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 JÄ","Forsman, Tiina.",Annikki Nissinen selvittää murhan,718,978-951-23-5541-9,2012-01-01
