Hyllpaikka,Tekijä,Nimeke,Lainojen lkm.,ISBN/ISSN,Julkaisuvuosi
"84.2, 84.2 RO","Orkoma, Marja.",Puistotie 4,986,978-951-883-344-7,2012-01-01
"84.2, 84.2 H , 84.2 HELP, 84.2 HL, 84.2 TYTTÖ, 85","Parvela, Timo.",Ella : varokaa lapsia!,985,951-31-3685-X,2006-01-01
"84.2, 84.2 H, 84.2 HELP, 84.2 HL, 84.2 TYTTÖ","Parvela, Timo.",Ella ja Sampan urotyöt,985,978-951-31-5929-0,2011-01-01
"84.2, 84.2 H , 84.2 Hel, 84.2 HELP, 84.2 HELPPO, 84.2 HL, 85","Pilkey, Dav.",Kapteeni Kalsari ja violetin vessan väen vinha vahinko,980,978-951-31-3831-8,2007-01-01
84.2,"Kelly, Cathy.",Uusia alkuja,976,978-951-20-8957-4,2013-01-01
84.2,"Kallio, Katja.",Säkenöivät hetket,973,978-951-1-26402-6,2013-01-01
"84.2, 84.2 H , 84.2 HELP, 84.2 HL, 85","Pilkey, Dav.",Kapteeni Kalsari ja Hurjan Hierrenaisen hirmutuuli,972,951-31-2933-0,2004-01-01
84.2,"Mustonen, Enni.",Lapinvuokko,971,978-951-1-24357-1,2010-01-01
"84.2, 84.2 KU, 85.11, 85.22, 85.22 KU","Kunnas, Mauri.",Hurjan hauska autokirja,969,978-951-1-12758-1,1993-01-01
"84.2, 84.2 FA, 84.2 Fan, 84.2 FAN, 84.2 NO, 84.2F","Rowling, J. K.",Harry Potter ja salaisuuksien kammio,969,951-31-1472-4,1999-01-01
84.2,"Väisänen, Hannu.",Taivaanvartijat : romaani,967,978-951-1-24802-6,2013-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 JÄ","Jungstedt, Mari.",Hiljaisuuden hinta,963,978-951-1-24514-8,2012-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2 JÄN, 84.2D","Tuominen, Pirjo.",Tuonelan joutsen,962,978-951-31-6218-4,2011-01-01
"84.2, 84.2 H, 84.2 HE, 84.2 HELP, 84.2 HEVOS","Hallberg, Lin.",Eppu etsii kotia,961,978-951-31-6495-9,2012-01-01
"84.2, 84.2 D, 84.2 JÄN","Clark, Mary Higgins.",Kadonneet vuodet,955,978-951-31-6801-8,2013-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 JÄ","Cornwell, Patricia.",Punainen usva,955,978-951-1-25430-0,2012-01-01
"84.2, 84.2 H, 84.2 HELP, 84.2 HL, 84.2 TYTTÖ, 85","Parvela, Timo.",Ella ja seitsemän törppöä,954,978-951-31-3895-0,2007-01-01
"84.2, 84.2 KU, 85.11, 85.2, 85.22, 85.22 KU","Wieslander, Jujja.",Lehmä siivoaa kotinsa,953,978-951-873-703-5,1997-01-01
"84.2, 84.2  HELP, 84.2 H, 84.2 HELP, 84.2 HEVOS, L84.2","Hallberg, Lin.",Eppu tulee taloon,953,978-951-31-6496-6,2013-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2 JÄN","Clark, Mary Higgins.",Yksin vain,953,978-951-31-6116-3,2012-01-01
"84.2, 84.2 H , 84.2 HELP, 84.2 HL, 84.2 TYTTÖ, 85","Parvela, Timo.",Ella aalloilla,952,951-31-3437-7,2005-01-01
"84.2, 84.2 D, 84.2 JÄN","Hiekkapelto, Kati.",Kolibri,952,978-951-1-26732-4,2013-01-01
84.2,"Lindgren, Minna.",Kuolema Ehtoolehdossa,949,978-951-851-505-3,2013-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 JÄ, Jännitys","Ropponen, Markku.",Kuhala & yöjuna,946,978-951-31-6598-7,2012-01-01
"84.2, 84.2 KU, 85.11, 85.2, 85.22, 85.22 KU","Kunnas, Mauri.","Apua, merirosvoja!",945,951-1-13330-6,1994-01-01
79.31051,,Goal.,945,1458-3097,2001-01-01
"84.2, 84.2 H, 84.2 HELP, 84.2 HELPPO, 84.2 HL, 84.2H","Kallioniemi, Tuula.",Kaahailua ja kepposia,943,978-951-1-25347-1,2011-01-01
"52 Scifi, 62.56, 77.4, 77.49, 77.4983, 79.8","Dowsett, Elizabeth.",Jedien salaisuudet,943,978-951-0-38201-1,2011-01-01
"84.2, 84.2 H , 84.2 HELP, 84.2 HL, 85","Pilkey, Dav.",Kapteeni Kalsari seikkailee,942,951-31-2380-4,2002-01-01
"84.2, 84.2 R, 84.2 RO","Utrio, Kaari.",Oppinut neiti,939,978-952-5330-41-0,2011-01-01
"40.8, 41, 84.2","Tuuri, Antti.",Bospor Express : kertomus matkasta,935,978-951-1-26329-6,2013-01-01
"84.2, 84.2 D, 84.2 JÄN","Flynn, Gillian.",Kiltti tyttö,933,978-951-0-39683-4,2013-01-01
"84, 84.2, 84.2 D, 84.2 DEK, 84.2 J, 84.2 JÄ, 84.2 Jän","Jokinen, Seppo.",Hiirileikki,931,978-951-23-4774-2,2006-01-01
05.1,,Olivia.,927,1796-7066,2007-01-01
"84.2, 84.2 KU, 85.11, 85.22, 85.22 KU","Wieslander, Jujja.",Lehmä liukumäessä,921,951-882-365-0,2003-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2 JÄN","Nesbø, Jo.",Aave,920,978-951-0-38712-2,2012-01-01
"84.2, 84.2 KU, 85.2, 85.22, 85.22 KU","Nordqvist, Sven.",Viirun ja Pesosen kylvöpuuhat,919,951-30-9514-2,1990-01-01
"84.2, 85.11, 85.2, 85.22, 85.22 KU","Wieslander, Jujja.","Lehmä, joka tahtoi keinua",917,951-873-426-7,1993-01-01
84.2,"Hietamies, Eve.",Tarhapäivä,915,978-951-1-25928-2,2012-01-01
84.2,"Lupton, Rosamund.",Mitä jäljelle jää,915,978-951-20-8674-0,2013-01-01
"84.2, 84.2 RO","Cookson, Catherine.",Kartanon portit,912,978-951-20-8954-3,2012-01-01
84.2,"Tuominen, Pirjo.",Perintömaat,910,978-951-31-5626-8,2010-01-01
"84.2, 84.2 RO","Kivelä, Anneli.",Katajamäki yllättyy,910,978-951-23-5386-6,2011-01-01
"84.2, 84.2 KU, 85.11, 85.22, 85.22 KU","Kunnas, Mauri.",Seitsemän koiraveljestä : koiramainen versio Aleksis Kiven romaanista Seitsemän veljestä,910,951-1-18100-9,2002-01-01
"84.2, 84.2 KU, 85.11, 85.2, 85.22, 85.22 KU","Wieslander, Jujja.",Lehmä rakentaa majan,910,951-873-558-1,1995-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2 JÄN","Child, Lee.",Epäilty,909,978-951-23-5542-6,2012-01-01
84.2,"Hassinen, Pirjo.",Popula : romaani,908,978-951-1-26366-1,2012-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 JÄ","Läckberg, Camilla.",Merenneito,902,978-951-20-8353-4,2011-01-01
84.2,"Hotakainen, Kari.",Luonnon laki,902,978-952-234-185-3,2013-01-01
84.2,"Kyrö, Tuomas.",Kerjäläinen ja jänis,898,978-952-234-068-9,2011-01-01
"84.2, 84.2 H , 84.2 HELP, 84.2 HELPPO, 84.2 HL, 85","Pilkey, Dav.",Kapteeni Kalsari ja puhuvat pöntöt,897,951-31-2381-2,2002-01-01
"03, 50","Valtaoja, Esko.",Kaiken käsikirja : mitä jokaisen tulisi tietää?,895,978-952-5985-05-4,2012-01-01
"84.2, 84.2 KU, 85.11, 85.22, 85.22 KU","Nordqvist, Sven.",Viiru ja Pesonen kettujahdissa,893,978-951-31-0394-1,1994-01-01
84.2,"Köngäs, Heidi.","Dora, Dora",888,978-951-1-25970-1,2012-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 JÄ","Ropponen, Markku.",Pimento,888,978-952-5918-91-5,2012-01-01
84.2,"Utrio, Kaari.",Seuraneiti,885,978-952-5330-58-8,2013-01-01
"84.2, 84.2 H, 84.2 HE, 84.2 HELP, 84.2 Hev, 84.2 HEVOS","Hallberg, Lin.","Aprillia, Sinttu",884,978-951-31-5249-9,2010-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 JÄ","Lehtolainen, Leena.",Minne tytöt kadonneet,883,978-951-31-5625-1,2010-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 JÄ","James, P. D.",Syystanssiaiset,882,978-951-1-26352-4,2012-01-01
84.2,"Orkoma, Marja.",Lesti & Lautanen,881,978-951-883-489-5,2013-01-01
"84.2, 85.11, 85.22, 85.22 KU","Nordqvist, Sven.",Viiru kateissa,880,978-951-31-2126-6,2001-01-01
"05.1, 90.051",,Tieteen kuvalehti historia : maailmanhistorian ilmiöitä lähikuvassa.,876,0806-5209,2007-01-01
"84, 84.2, 84.2 D, 84.2 JÄ, 84.2 Jän, 84.2 JÄN","Lehtolainen, Leena.",Henkivartija,875,978-951-31-4530-9,2009-01-01
84.2,"Härkönen, Anna-Leena.",Onnen tunti,874,978-951-1-25272-6,2011-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 JÄ","Mäki, Reijo.",Mustasiipi,874,978-951-1-25495-9,2011-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 JÄ","Leon, Donna.",Uskon asia : komisario Guido Brunettin tutkimuksia,873,978-951-1-25935-0,2012-01-01
84.2,"Chamberlain, Diane.",Valheiden takaa,873,978-951-0-39100-6,2012-01-01
05.1,,Cosmopolitan.,872,1456-5234,1999-01-01
"84, 84.2, 84.2 D, 84.2 DEK, 84.2 J, 84.2 JÄ","Jokinen, Seppo.",Sana sanaa vastaan,870,951-23-4669-9,2005-01-01
84.2,"Tervo, Jari.",Esikoinen : romaani,870,978-951-0-39971-2,2013-01-01
"52 Scifi, 62.56, 77.49, 77.4983","Wallace, Daniel.",Galaktiset taistelut,869,978-951-0-39206-5,2012-01-01
"84, 84.2, 84.2 D, 84.2 DEK, 84.2 J, 84.2 JÄ, 84.2D","Jokinen, Seppo.",Vilpittömässä mielessä,868,951-23-4424-6,2003-01-01
84.2,"Vaahtera, Veera.","Rakkautta, vahingossa",868,978-951-31-7134-6,2013-01-01
"84.2, 84.2 D, 84.2 DEK","McCall Smith, Alexander.",Häähuumaa lauantaina,866,978-951-1-26228-2,2013-01-01
84.2,"Paavilainen, Ulla-Maija.",Vanhapoika : romaani,865,978-951-1-26506-1,2012-01-01
"84.2, 84.2 KU, 85.22, 85.22 KU","Wieslander, Jujja.",Lehmä kelkkamäessä,864,951-873-463-1,1994-01-01
84.2,"Tervo, Jari.",Layla : romaani,863,978-951-0-38277-6,2011-01-01
84.2,"Noble, Elizabeth.",Yhdessä jälleen,862,978-951-23-5462-7,2013-01-01
"05.1, 40.051, 40.7051",,Matkalehti : loma- & liikematkailun erikoislehti.,861,1239-1018,1996-01-01
"84.2, 84.2 KU, 85.22, 85.22 KU","Míler, Zdeněk.",Myyrän auto,856,951-31-1712-X,1999-01-01
"84.2, 84.2 H, 84.2 HELP, 84.2 HL, 85","Parvela, Timo.",Ella Lapissa,854,951-31-2874-1,2003-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2 JÄN","Brown, Sandra.",Kova luu,851,978-951-31-6654-0,2012-01-01
"84, 84.2, 84.2 D, 84.2 DEK, 84.2 JÄ, 84.2 Jän, 84.2D","Jokinen, Seppo.",Suurta pahaa,848,951-23-4530-7,2004-01-01
68.4051,,Divaani.,848,1797-4879,2008-01-01
"84.2, 84.2 H , 84.2 HELP, 84.2 HL, 85","Pilkey, Dav.","Kapteeni Kalsarin ja Sähköräkäjätkän iso paha taistelu. 1. osa, Siivottomien sierainmöykkyjen yö",848,951-31-3147-5,2004-01-01
"84.2, 84.2 D, 84.2 JÄN","Remes, Matti.",Tappaja,847,978-951-31-7126-1,2013-01-01
84.2,"Keyes, Marian.",Mercy Closen mysteeri,847,978-951-31-7107-0,2013-01-01
84.2,"Halttunen, Elina.",Syysvieraita : romaani rakastajista ja rakastetuista,847,978-951-851-481-0,2012-01-01
"84.2, 84.2 R, 84.2 RO, 84.2 Vii, 84.2R","Lehtinen, Tuija.",Kolme miestä netissä,839,978-951-1-24573-5,2010-01-01
"84.2, 84.2 D, 84.2 JÄN","Numminen, Juha.",Vaikenemisen hinta : rikosromaani,838,978-952-289-044-3,2013-01-01
84.2,"Liksom, Rosa.",Hytti nro 6 : kertomus,836,978-951-0-38274-5,2011-01-01
"05.1, 67.452051",,Kissafani.,835,1236-4525,1992-01-01
"84.2, 84.2 D, 84.2 JÄN","Lindell, Unni.",Sokerivalhe,833,978-951-0-39519-6,2013-01-01
"84.2, 84.2 RO, 84.2 Vii, 84.2R","Kivelä, Anneli.",Salaisuuksia Katajamäellä,833,978-951-23-5241-8,2010-01-01
"84.2, 84.2 D, 84.2 JÄN","Soininvaara, Taavi.",Toinen peto,833,978-951-1-27378-3,2013-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2 JÄN","Kesävuori, Saara.",Saarroksissa,830,978-951-31-6852-0,2012-01-01
"84.2, 84.2 D, 84.2 JÄN","Cussler, Clive.",Paholaisen portti,829,978-951-0-39517-2,2013-01-01
"84.2, 84.2 D, 84.2 JÄN","Cleeves, Ann.",Kuolemanhiljaisuus,828,978-951-23-5676-8,2013-01-01
"84.2, 84.2 D, 84.2 JÄN","Adler-Olsen, Jussi.",Metsästäjät,827,978-951-20-8550-7,2013-01-01
"84.2, 84.2 FA, 84.2 Fan, 84.2 FAN, 84.2 NO, 84.2F","Rowling, J. K.",Harry Potter ja Azkabanin vanki,825,951-31-1737-5,2000-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 JÄ, 84.2 Jän","Pakkanen, Outi.",Seuralainen,824,978-951-1-24571-1,2010-01-01
"05.1, 79.4051",,Retki : Finnish outdoor magazine.,824,1456-8837,1999-01-01
"84.2, 84.2 KU, 85.11, 85.22, 85.22 KU","Míler, Zdeněk.",Myyrän raketti,823,951-31-2006-6,2004-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 J, 84.2 JÄ","Rönkä, Matti.",Väärän maan vainaja,821,978-951-20-8584-2,2011-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2 JÄN","Howard, Linda.",Yön huntu,817,978-951-0-38921-8,2012-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 J, 84.2 JÄ","Arhippa, Pirkko.",Polku pimeään : jännitysromaani,816,978-951-883-277-8,2011-01-01
"84.2, 84.2 KU, 85.11, 85.22, 85.22 KU","Knutsson, Gösta.",Pekka Töpöhäntä urheilukilpailuissa,815,951-20-3974-5,1992-01-01
"84, 84.2, 84.2 D, 84.2 Dek, 84.2 DEK, 84.2 J, 84.2 JÄ","Pakkanen, Outi.",Muistivirhe,814,978-951-1-23844-7,2009-01-01
"0.51, 05.1, 78.891051",,Suosikki.,814,0355-4260,1961-01-01
"84.2, 84.2 RO","Luhtanen, Sari.",Kaikkea kaunista,809,978-951-31-6599-4,2012-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2 JÄN","Edwardson, Åke.",Tapaaminen Esteponassa,809,978-951-0-39010-8,2012-01-01
"84, 84.2, 84.2 D, 84.2 DEK, 84.2 JÄ, 84.2 Jän","Jokinen, Seppo.",Kuka sellaista tekisi,807,978-951-23-5000-1,2008-01-01
84.2,"Pulkkinen, Riikka.",Totta,806,978-951-1-22965-0,2010-01-01
"84.2, 84.2 KU, 85.11, 85.22, 85.22 KU","Kunnas, Mauri.",Koiramäen Martta ja Ruuneperi,804,951-1-20516-1,2005-01-01
84.2,"Palmgren, Reidar.",Sudenmarja : romaani,802,978-951-1-26487-3,2012-01-01
84.2,"Luhtanen, Sari.",Murusia,801,978-951-31-7132-2,2013-01-01
"84.2, 85.22, 85.22 KU","Nopola, Tiina.",Siiri tekee maalin,801,978-951-31-5932-0,2011-01-01
"85.22, 85.22 KU","Bagge, Tapani.",Vihreän linnun arvoitus,799,978-951-31-7213-8,2013-01-01
"84.2, 85.11, 85.2, 85.22, 85.22 KU","Bergström, Gunilla.",Mikko Mallikas ja syntymäpäiväkutsut,799,978-951-31-4823-2,2009-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2 JÄN","Fielding, Joy.",Henkeäsalpaava,799,978-951-0-38705-4,2012-01-01
66.051,,Unelmien talo&koti.,798,2323-7805,2013-01-01
84.2,"Rauhala, Pauliina.",Taivaslaulu,791,978-951-20-9128-7,2013-01-01
"84.2, 84.2 D, 84.2 JÄN","Grisham, John.",Puhallus,791,978-951-0-39778-7,2013-01-01
"52 Scifi, 77.49, 77.4983","Windham, Ryder.",Star wars : Tähtien sodan kuvitettu opas,790,978-951-0-39474-8,2012-01-01
"84.2, 84.2 H, 84.2 HELP, 84.2 HL, 84.2 TYTTÖ, 85","Parvela, Timo.",Ella ja Paterock,789,951-31-3130-0,2004-01-01
"99.1, 99.15","Worth, Jennifer.",Hakekaa kätilö!,789,978-951-1-26861-1,2012-01-01
84.2,"Tyler, Anne.",Jää hyvästi,788,978-951-1-26233-6,2013-01-01
"84.2, 84.2 KU, 85.11, 85.22, 85.22 KU","Kunnas, Mauri.",Hui kauhistus!,788,978-951-1-08578-2,1985-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2 JÄN","Remes, Ilkka.",Teräsleijona,786,978-951-0-38419-0,2011-01-01
"84.2, 84.2 H, 84.2 HELP, 84.2 HELPPO, 84.2 HL","Kallioniemi, Tuula.",Aaveita ja avaruusolentoja,785,978-951-1-26326-5,2012-01-01
84.2,"Boyd, Hilary.",Torstaisin puistossa,785,978-951-23-5619-5,2013-01-01
"84.2, 85.11, 85.112, 85.22, 85.22 KU","Kunnas, Mauri.",Vampyyrivaarin tarinoita,782,951-1-11854-4,1991-01-01
"84.2, 84.2 FA, 84.2 Fan, 84.2 FAN, 84.2 NO, 85","Rowling, J. K.",Harry Potter ja kuoleman varjelukset,781,978-951-31-4004-5,2008-01-01
"84.2, 84.2 KU, 85.11, 85.2, 85.22, 85.22 KU, 85.22F","Nordqvist, Sven.",Viiru ja Pesonen telttaretkellä,779,951-31-0098-7,1993-01-01
"85.22, 85.22 KU","Bergström, Gunilla.",Mikko Mallikas on kuningas,778,978-951-31-6642-7,2012-01-01
84.2,"Olsson, Linda.",Kaikki hyvä sinussa,777,978-951-20-8408-1,2012-01-01
"03, 03 F",Guinness world records 2011,Guinness world records 2011,777,978-951-32-2996-2,2010-01-01
"84.2, 84.2 KU, 85.11, 85.2, 85.22, 85.22 KU","Kunnas, Mauri.",Majatalon väki ja kaappikellon kummitukset,775,951-1-14424-3,1996-01-01
"84.2, 85.22, 85.22 KU","Nopola, Tiina.",Siiri ja kauhea kummitus,775,978-951-31-5689-3,2010-01-01
"84.2, 84.2 KU, 84.2F, 85.11, 85.22, 85.22 KU","Kunnas, Mauri.",Ujo Elvis,774,951-1-18988-3,2003-01-01
84.2,"Kyrö, Tuomas.",Kunkku : iloittelu,774,978-952-234-173-0,2013-01-01
"84.2, 85.11, 85.2, 85.22, 85.22 KU, 85.22F","Nordqvist, Sven.",Viirun syntymäpäivät,773,951-31-0393-5,1994-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2 JÄN","Fossum, Karin.",Minä näen pimeässä,771,978-951-0-39012-2,2012-01-01
"05.1, 79.1051",,Urheilulehti,771,0355-6085,1898-01-01
"85.22, 85.22 KU","Nopola, Tiina.",Siiri ja lumimies,770,978-951-31-6846-9,2012-01-01
"84.2, 84.2 FA, 84.2 Fan, 84.2 FAN, 84.2 NO, 84.2F, 85","Rowling, J. K.",Harry Potter ja liekehtivä pikari,768,951-31-2038-4,2001-01-01
"84.2, 84.2 RO","Steel, Danielle.",Kelpo nainen,768,978-951-0-38600-2,2012-01-01
"84.2, 84.2  Help, 84.2 H , 84.2 Hel, 84.2 HELP, 84.2 HELPPO, 84.2 HL, 85","Pilkey, Dav.",Kapteeni Kalsari ja ulkoavaruuden uskomattoman keljut keittiöntädit (ja ruokalan ihan yhtä ilkeät zombinynnyt),768,951-31-2699-4,2003-01-01
"84.2, 84.2 KU, 85.11, 85.22, 85.22 KU, 85.22F","Kunnas, Mauri.",Yökirja eli mitä kaikkea tapahtuukaan yöllä,764,951-1-08044-X,1984-01-01
84.2,"Save, Laura.",Paljain jaloin : romaani,764,978-951-0-39544-8,2013-01-01
"84.2, 84.2 KU, 85.11, 85.2, 85.22, 85.22 KU, 85.22F","Nordqvist, Sven.",Viiru puijaa Pesosta,764,978-951-31-0340-8,1994-01-01
84.2,"Westö, Kjell.",Kangastus 38,763,978-951-1-27403-2,2013-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 JÄ","Sandberg, Timo.",Vainooja : rikosromaani,759,978-951-23-5537-2,2012-01-01
"84.2, 84.2 FA, 84.2 Fan, 84.2 FAN, 84.2 NO, 84.2F","Rowling, J. K.",Harry Potter ja puoliverinen prinssi,759,951-31-3507-1,2006-01-01
"84.2, 84.2 KU, 85.11, 85.2, 85.22, 85.22 KU","Knutsson, Gösta.",Pekka Töpöhäntä teatterissa,758,951-20-3982-6,2001-01-01
"84.2, 84.2 D, 84.2 JÄN","Rönnbacka, Christian.",Julma,757,978-952-279-062-0,2013-01-01
"84.2, 84.2 KU, 85.11, 85.2, 85.22, 85.22 KU","Knutsson, Gösta.",Pekka Töpöhäntä tivolissa,757,951-20-3975-3,1992-01-01
"84.2, 84.2 KU, 85.11, 85.22, 85.22 KU, 85.22F","Nopola, Tiina.",Siiri ja kamala possu,755,9789513134174,2005-01-01
"84.2, 84.2 D, 84.2 JÄN","Blædel, Sara.",Nimimerkki Prinsessa,755,978-951-23-5544-0,2013-01-01
"05.1, 62.54051, VEN",,Vene.,755,,1966-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 JÄ","Marklund, Liza.",Panttivanki,754,978-951-1-25911-4,2011-01-01
"84.2, 84.2 D, 84.2 JÄN","Slaughter, Karin.",Yli rajan,754,978-951-31-6915-2,2013-01-01
"84.2, 84.2 D, 84.2 JÄN","Nesser, Håkan.",Herra Roosin tarina : rikosromaani,752,978-951-31-7110-0,2013-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2 JÄN","Soininvaara, Taavi.",Valkoinen kääpiö,751,978-951-1-26322-7,2012-01-01
84.2,"Dillon, Lucy.",Uuden onnen jäljillä,748,978-951-20-8657-3,2013-01-01
"84.2, 84.2 JÄ","Fagerholm, Monika.",Lola ylösalaisin,748,978-951-851-480-3,2012-01-01
"84.2, 84.2 RO","Steel, Danielle.",Lurjus,747,978-951-0-37778-9,2011-01-01
"84.2, 84.2 RO","Green, Jane.",Vuosi maalla,746,978-951-23-5461-0,2012-01-01
"84.2, 84.2 JÄN","Hayden, Torey.",Viattomat,744,978-951-1-26021-9,2012-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 JÄ, 84.2 Jän","Joensuu, Matti Yrjänä.",Harjunpää ja rautahuone,744,978-951-1-24742-5,2010-01-01
"84.2, 84.2 D, 84.2 J, 84.2 JÄ, 84.2 Jän, 84.2 JÄN","Mankell, Henning.",Savuna ilmaan,743,978-951-1-23943-7,2010-01-01
"84. 2, 84.2, 84.2 D, 84.2 DEK, 84.2 J, 84.2 JÄ","Jansson, Anna.",Unissakävelijä,741,978-951-20-8262-9,2011-01-01
99.1,"Feldt, Felicia.",Näkymätön tytär : kasvatusguru Anna Wahlgrenin varjossa,741,978-951-1-26584-9,2013-01-01
"84.2, 84.2 H, 84.2 HELP, 84.2 TYTTÖ","Parvela, Timo.",Ella ja kaverit menevät metsään,741,978-951-31-5997-9,2013-01-01
"84.2, 84.2 D, 84.2 JÄN","Pakkanen, Outi.",Rakastaja,741,978-951-1-27363-9,2013-01-01
84.2,"Franzén, Peter.",Tumman veden päällä,740,978-951-31-5404-2,2010-01-01
84.2,"Rissanen, Pirjo.",Äitienpäivä,738,978-951-20-8479-1,2011-01-01
"84.2, 84.2 H, 84.2 HELP, 84.2 HELPPO, 84.2 HL, L84.2","Widmark, Martin.",Eläinpuodin arvoitus,738,978-951-31-6780-6,2012-01-01
"84.2, 85.22, 85.22 KU","Kunnas, Mauri.",Yötarinoita,736,978-951-1-25118-7,2010-01-01
84.2,"Havaste, Paula.",Yhden toivon tie,735,978-951-20-8977-2,2012-01-01
84.2,"Hämeen-Anttila, Virpi.",Railo : romaani,735,978-951-1-25510-9,2011-01-01
"84.2, 85.11, 85.22, 85.22 KU","Kunnas, Mauri.","Hyvää yötä, herra Hakkarainen",734,951-1-16152-0,1999-01-01
"84.2, 84.2 SO, 84.2 SOTA","Lehväslaiho, Reino.",Korven peura,733,978-951-0-39391-8,2012-01-01
"05.1, 61, 61.051",,Mikrobitti : kotimikron käyttäjän peruslehti.,733,0781-2078,1984-01-01
05.1,,Valitut palat.,733,0042-2290,1945-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 JÄ","Nesser, Håkan.",Kokonaan toinen juttu : rikosromaani,732,978-951-31-6122-4,2012-01-01
84.2,"Ahern, Cecelia.",Tapaaminen Elämän kanssa,732,978-951-20-8788-4,2012-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2 JÄN","Sipilä, Jarkko.",Ei vasikka käskien laula,732,978-952-5918-69-4,2012-01-01
84.2,"Kinsella, Sophie.","Soitellaan, soitellaan!",732,978-951-0-38866-2,2012-01-01
84.2,"Hirvisaari, Laila.","Minä, Katariina : romaani",731,978-951-1-25005-0,2011-01-01
"84.2, 84.2 KU, 85.11, 85.22, 85.22 KU, 85.22F","Nopola, Tiina.",Siiri ja sotkuinen Kerttu,728,978-951-31-3114-2,2004-01-01
"84.2, 84.2 D, 84.2 JÄ","Adler, Elizabeth.",Monte Carlon jalokivet,727,978-951-20-8738-9,2012-01-01
"84.2, 84.2 KU, 85.11, 85.22, 85.22 KU, 85.22F","Nopola, Tiina.",Siiri ja hurja Hunskeli,726,978-951-31-3900-1,2008-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 JÄ, 84.2 Jän","Sipilä, Jarkko.",Katumurha,725,978-951-20-8335-0,2010-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 JÄ, 84.2 Jän","Läckberg, Camilla.",Perillinen,725,978-951-50-1990-5,2010-01-01
"84.2, 84.2  D, 84.2 D, 84.2 JÄ, 84.2 JÄN","Alsterdal, Tove.",Kadonneet,724,978-951-20-8881-2,2012-01-01
"84, 84.2, 84.2 D, 84.2 DEK, 84.2 JÄ, 84.2D","Jokinen, Seppo.",Hukan enkelit,723,978-951-23-4229-7,2001-01-01
"84.2, 84.2 KU, 85.11, 85.2, 85.22, 85.22 KU","Kunnas, Mauri.","Etusivun juttu, eli, Kuinka sanomalehti syntyy",722,978-951-1-11442-0,1990-01-01
"84.2, 85.22, 85.22 KU","Harjanne, Maikki.",Minttu ja mummo,722,978-951-1-24281-9,2010-01-01
"85.22, 85.22 KU","Kaarla, Riina.",Täältä tulee Pikku Myy : villit vieraat,721,978-951-31-6265-8,2011-01-01
"84.2, 84.2 RO","Orkoma, Marja.",Villiruusu 6,719,978-951-883-217-4,2011-01-01
"84.2, 84.2 D, 84.2 JÄN","Kesävuori, Saara.",Tarkasti vartioitu,718,978-951-31-7424-8,2013-01-01
84.2,"Oranen, Raija.",Kuninkaiden tiet,714,978-951-851-448-3,2012-01-01
59.55,"Jensen, Hanna.",940 päivää isäni muistina,714,978-951-851-375-2,2013-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2 JÄN","Cussler, Clive.",Vakooja,714,978-951-0-38872-3,2012-01-01
"84, 84.2, 84.2 R, 84.2 RO, 84.2 Rom, 84.2R","Mustonen, Enni.",Morsiuskesä,712,978-951-1-23839-3,2009-01-01
84.2,"Autere, Terttu.",Huhtikuun morsian,711,978-951-23-5600-3,2013-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2 JÄN","Slaughter, Karin.",Pettävä hiljaisuus,710,978-951-31-6037-1,2012-01-01
"85.22, 85.22 KU","Cousins, Lucy.",Maisan kaupunkiloma,709,978-951-0-37744-4,2011-01-01
