"","Hyllypaikka","Tekijä","Nimeke","Lainojen.lkm.","ISBN.ISSN","Julkaisuvuosi","Vuosi"
"528"," 84.2 HELP","Roberts, Nora.","Kaukainen unelma",552,"978-951-20-7858-5","2002","2013"
"529"," 84.2 HELP","Rosa, Don.","Pako Kielletystä laaksosta ja muita Don Rosan parhaita",630,"978-951-32-2887-3","2012","2012"
"530"," 84.2 HELP","Samartin, Cecilia.","Kaunis sydän",649,"978-952-5637-69-4","2007","2012"
"531"," 84.2 HELP","Stockett, Kathryn.","Piiat",624,"978-951-0-36189-4","2010","2012"
"532"," 84.2 HELP","Tervo, Jari.","Jarrusukka.",693,"978-952-67705-1-2","2004","2013"
"533"," 84.2 HELP","Tuomola, Johanna.","Murhaaja vierelläsi : jännitysromaani",539,"978-952-202-425-1","01","2013"
"534"," 84.2 HELP","Vuori, Kristiina.","Siipirikko",667,"978-951-31-7084-4","2012","2013"
"535"," 84.2 HELP","Widmark, Martin.","Hotellin arvoitus",637,"951-31-3030-4","01","2013"
"536"," 84.2 HELP","Wolde, Gunilla.","Sanna lääkärissä",647,"951-30-3926-9","2013","2013"
"537"," 84.2 HELPPO","","Ihan Ankkana : Aku Ankka 75 vuotta",657,"978-951-32-2693-0","2011","2012"
"538"," 84.2 HELPPO","","Prinsessa [Videotallenne]",532,"7071788000349","2011","2012"
"539"," 84.2 HELPPO","","Tom & Jerry.",1119,"0357-6493","2003","2013"
"540"," 84.2 HELPPO","Ahern, Cecelia.","Tyttö peilissä",549,"978-951-20-8741-9","2011","2012"
"541"," 84.2 HELPPO","Hallberg, Lin.","Älä pelkää, Sinttu!",1050,"978-951-31-6323-5","01","2013"
"542"," 84.2 HELPPO","Hallberg, Lin.","Maailman ihanin Sinttu",1084,"978-951-31-3968-1","01","2012"
"543"," 84.2 HELPPO","Harjanne, Maikki.","Minttu morsiusneitona",601,"978-951-1-24734-0","01","2013"
"544"," 84.2 HELPPO","Härkönen, Anna-Leena.","Laskeva neitsyt ja muita kirjoituksia",1115,"978-951-1-26123-0","2012","2013"
"545"," 84.2 HELPPO","Havukainen, Aino.","Tatun ja Patun kummat keksinnöt kautta aikojen",1015,"978-951-1-27544-2","01","2013"
"546"," 84.2 HELPPO","Havukainen, Aino.","Veera ja menopelit",1083,"951-1-16562-3","2013","2013"
"547"," 84.2 HELPPO","Hietamies, Eve.","Tarhapäivä",915,"978-951-1-25928-2","01","2013"
"548"," 84.2 HELPPO","Jalo, Merja.","Jesse pentukoira",620,"978-951-0-35899-3","01","2012"
"549"," 84.2 HELPPO","Jokinen, Seppo.","Lyöty mies",1189,"978-951-23-5130-5","2012","2012"
"550"," 84.2 HELPPO","Kepler, Lars.","Tulitodistaja : rikosromaani",1027,"978-951-31-6651-9","01","2013"
"551"," 84.2 HELPPO","Koskimies, Pirkko.","Pupu Tupuna leikkipuistossa",585,"978-951-32-2681-7","2012","2012"
"552"," 84.2 HELPPO","Kunnas, Mauri.","Hyvää yötä, herra Hakkarainen",734,"951-1-16152-0","2012","2013"
"553"," 84.2 HELPPO","Kunnas, Mauri.","Robin Hood",1260,"978-951-1-23672-6","01","2013"
"554"," 84.2 HELPPO","Lehväslaiho, Reino.","Alakurtin tie",491,"978-951-0-36721-6","2004","2012"
"555"," 84.2 HELPPO","Mazzarella, Merete.","Ainoat todelliset asiat : vuosi elämästä",1102,"978-951-31-6607-6","01","2012"
"556"," 84.2 HELPPO","Nesbø, Jo.","Kukkulan kuningas",621,"978-951-0-34705-8","2010","2013"
"557"," 84.2 HELPPO","Nykänen, Harri.","Pyhä toimitus",1018,"978-952-5918-26-7","01","2012"
"558"," 84.2 HELPPO","Parvela, Timo.","Ella ja jättipotti",1038,"978-951-31-4943-7","01","2013"
"559"," 84.2 HELPPO","Parvela, Timo.","Ella ja kaverit juhlatuulella",673,"978-951-31-5719-7","2013","2013"
"560"," 84.2 HELPPO","Pilkey, Dav.","Kapteeni Kalsari ja professori Poksupöksyn piinalliset puuhat",1081,"951-31-2841-5","2010","2012"
"561"," 84.2 HELPPO","Rowling, J. K.","Harry Potter ja liekehtivä pikari",768,"951-31-2038-4","01","2013"
"562"," 84.2 Hev","Bergström, Gunilla.","Mikko Mallikas ja syntymäpäiväkutsut",753,"978-951-31-4823-2","01","2012"
"563"," 84.2 Hev","Knutsson, Gösta.","Pekka Töpöhäntä teatterissa",758,"951-20-3982-6","01","2013"
"564"," 84.2 Hev","Numminen, Juha.","Räjähdyspiste : rikosromaani",721,"978-952-5918-28-1","01","2012"
"565"," 84.2 Hev","Ruiz Zafón, Carlos.","Marina",598,"978-951-1-26475-0","2013","2013"
"566"," 84.2 HEVOS","","Samsung [Esine] : NP200B.",701,"","01","2012"
"567"," 84.2 HEVOS","Adler-Olsen, Jussi.","Vanki",699,"978-951-20-8754-9","01","2012"
"568"," 84.2 HEVOS","Cunningham, Michael.","Illan tullen",580,"978-951-20-8402-9","01","2012"
"569"," 84.2 HEVOS","Evanovich, Janet.","Herttaseiska",623,"978-951-0-38099-4","01","2012"
"570"," 84.2 HEVOS","Jensen, Hanna.","940 päivää isäni muistina",714,"978-951-851-375-2","01","2013"
"571"," 84.2 HEVOS","Knutsson, Gösta.","Pekka Töpöhännän silakkaretki",698,"951-20-3970-2","2013","2013"
"572"," 84.2 HEVOS","Kunnas, Mauri.","Herra Hakkaraisen numerot",630,"951-1-19740-1","01","2012"
"573"," 84.2 HEVOS","Peetz, Monika.","Seitsemän päivää ilman",667,"978-952-492-702-4","01","2013"
"574"," 84.2 HEVOS","Rissanen, Pirjo.","Äitienpäivä",738,"978-951-20-8479-1","01","2013"
"575"," 84.2 HL","Arhippa, Pirkko.","On ruusu punainen : jännitysromaani",630,"978-951-882-900-6","2011","2012"
"576"," 84.2 HL","Bourgeois, Paulette.","Franklin saa vieraan",633,"978-951-31-4160-8","01","2013"
"577"," 84.2 HL","Bradman, Tony.","Muumiot tv-tähtinä",491,"951-882-634-X","2004","2013"
"578"," 84.2 HL","Child, Lee.","Henkensä kaupalla",520,"978-951-23-5381-1","2012","2013"
"579"," 84.2 HL","Child, Lee.","Linnoitus",539,"978-951-23-5457-3","2012","2013"
"580"," 84.2 HL","Cousins, Lucy.","Maisa menee päiväkotiin",688,"978-951-0-35049-2","01","2012"
"581"," 84.2 HL","Davis, Jim.","Paksu-Karvinen. 8",537,"978-951-1-24961-0","01","2012"
"582"," 84.2 HL","Harjanne, Maikki.","Minttu urheilee",696,"978-951-1-25427-0","2000","2013"
"583"," 84.2 HL","Havaste, Paula.","Yhden toivon tie",592,"978-951-20-8977-2","01","2012"
"584"," 84.2 HL","Hill, Antonio.","Kauniit kuolemat",674,"978-951-1-27082-9","01","2013"
"585"," 84.2 HL","Impey, Rose.","Piraatti-Pete ja takaa-ajo merellä",483,"978-951-883-151-1","01","2013"
"586"," 84.2 HL","James, Peter.","Kuolema ei käy kauppaa",629,"978-952-492-641-6","01","2013"
"587"," 84.2 HL","Kallioniemi, Tuula.","Konsta kesälaitumilla",544,"951-1-20875-6","01","2012"
"588"," 84.2 HL","Kallioniemi, Tuula.","Salapoliisi Konsta",697,"978-951-1-22449-5","01","2012"
"589"," 84.2 HL","Kanto, Anneli.","FC Tytsyt",576,"978-951-23-5290-6","1992","2013"
"590"," 84.2 HL","Kivelä, Anneli.","Kotiin Katajamäelle",607,"978-951-23-4840-4","2005","2012"
"591"," 84.2 HL","Lius, Tuomas.","Keisari",489,"978-952-01-0775-8","1988","2013"
"592"," 84.2 HL","Mitchell, Rain.","Tasapainoilua",614,"978-951-31-6124-8","2011","2012"
"593"," 84.2 HL","Nordqvist, Sven.","Viirun syntymäpäivät",773,"951-31-0393-5","01","2013"
"594"," 84.2 HL","Noronen, Paula.","Supermarsu ja kutistuva koulu",486,"978-951-20-8495-1","2011","2012"
"595"," 84.2 HL","Nykänen, Harri.","Pyhä toimitus",548,"978-952-5918-26-7","01","2013"
"596"," 84.2 HL","Perttula, Pirkko-Liisa.","Kummitusperhe Kammoset koulutiellä",648,"978-951-1-25119-4","2010","2013"
"597"," 84.2 HL","Rickards, Lynne.","Minä voitin!",597,"978-951-882-863-4","2012","2012"
"598"," 84.2 HL","Sipilä, Jarkko.","Katumurha",725,"978-951-20-8335-0","01","2013"
"599"," 84.2 HL","Vaahtera, Veera.","Onnellisesti eksyksissä",618,"978-951-31-6870-4","2013","2013"
"600"," 84.2 HL","Wolde, Gunilla.","Teemu kylpee",520,"951-30-9066-3","2011","2012"
"601"," 84.2 Huu","Jokinen, Seppo.","Koskinen ja pudotuspeli : rikosromaani",489,"951-23-4832-2","01","2012"
"602"," 84.2 HUUMORI","Higgins, Jack.","Tappava petos",489,"978-951-20-8862-1","01","2012"
"603"," 84.2 HUUMORI","Koskimies, Pirkko.","Pupu Tupuna : Pupulassa harrastetaan",472,"978-951-32-2369-4","2005","2013"
"604"," 84.2 J","","Älä lue pimeässä : 210 karmivaa tarinaa",678,"978-951-1-25132-3","01","2012"
"605"," 84.2 J","","Ankkojen maailmanhistoria. 1, [Esihistoria ja varhaiset korkeakulttuurit]",486,"978-951-32-2695-4","2009","2013"
"606"," 84.2 J","","Röllin sydän [Videotallenne].",508,"","01","2012"
"607"," 84.2 J","Ahern, Cecelia.","Mitä huominen tuo tullessaan",537,"978-951-20-8227-8","2010","2012"
"608"," 84.2 J","Barks, Carl.","Carl Barksin parhaat",553,"978-951-32-3035-7","01","2012"
"609"," 84.2 J","Beckett, Simon.","Multiin kätketyt",622,"978-951-23-5385-9","01","2012"
"610"," 84.2 J","Colfer, Eoin.","Hiuskarvan varassa",621,"978-951-0-38246-2","01","2012"
"611"," 84.2 J","Collins, Suzanne.","Nälkäpeli",539,"978-951-0-34151-3","01","2012"
"612"," 84.2 J","Davis, Jim.","Paksu-Karvinen. 4",521,"951-1-14623-8","2008","2012"
"613"," 84.2 J","Frimansson, Inger.","Kylmä maa",587,"978-952-01-0727-7","01","2013"
"614"," 84.2 J","Gustafsson, Laura.","Huorasatu",713,"978-952-264-063-5","01","2012"
"615"," 84.2 J","Keränen, Milla.","Sisilian ruusu",499,"978-951-20-8802-7","01","2012"
"616"," 84.2 J","Kinsella, Sophie.","Kevytkenkäinen kummitus",493,"978-951-0-35841-2","2008","2012"
"617"," 84.2 J","Laine, Matti.","Eksytetty",642,"978-951-20-8585-9","01","2012"
"618"," 84.2 J","Louhi, Kristiina.","Ainon kanssa",488,"951-30-9412-X","01","2013"
"619"," 84.2 J","Lustbader, Eric Van.","Robert Ludlumin Medusan tähtäin",524,"978-951-1-25474-4","2001","2013"
"620"," 84.2 J","Mater´s Tall Tales","Martin tarinatalli",558,"978-951-32-3197-2","01","2012"
"621"," 84.2 J","Nuotio, Eppu.","Loppu : romaani",897,"978-951-1-25144-6","01","2012"
"622"," 84.2 J","Orkoma, Marja.","Tanssiva tassu",503,"978-951-882-961-7","01","2012"
"623"," 84.2 J","Raitasuo, Ilkka.","Kellokosken prinsessa",488,"978-952-01-0509-9","01","2012"
"624"," 84.2 J","Rönnbacka, Christian.","Operaatio Troijalainen",726,"978-952-5637-71-7","01","2012"
"625"," 84.2 J","Shafak, Elif.","Kirottu Istanbul",504,"978-951-20-8753-2","01","2012"
"626"," 84.2 J","Sipilä, Jarkko.","Prikaatin kosto",618,"978-951-20-7989-6","01","2012"
"627"," 84.2 J","The Simpsons go for the gold.","Simpsonit : tavoitteena kulta",523,"978-952-220-536-0","01","2013"
"628"," 84.2 J","Vala, Vera.","Kuolema sypressin varjossa",561,"978-951-20-9036-5","01","2013"
"629"," 84.2 J","Viima, Hannaleena.","Naisen vaisto",560,"978-952-492-548-8","01","2012"
"630"," 84.2 J","Vuorenpää, Eeva.","Arvet : romaani sotavuodesta 1941",514,"978-952-492-536-5","01","2012"
"631"," 84.2 J","Wennstam, Katarina.","Turman lintu : jännitysromaani",613,"978-951-1-25863-6","01","2012"
"632"," 84.2 JÄ","","Perhe on pahin",568,"978-951-32-3074-6","1987","2012"
"633"," 84.2 JÄ","","Rusina ramppikuumeessa : 400 uutta koululaisvitsiä",484,"951-1-21216-8","01","2012"
"634"," 84.2 JÄ","Adler-Olsen, Jussi.","Vanki",555,"978-951-20-8754-9","01","2013"
"635"," 84.2 JÄ","Arhippa, Pirkko.","Kipunuora : jännitysromaani",697,"978-951-883-138-2","01","2013"
"636"," 84.2 JÄ","Arnaldur Indriðason.","Menneet ja kadonneet",659,"978-952-5410-72-3","01","2013"
"637"," 84.2 JÄ","Atkinson, Kate.","Ihan tavallisena päivänä",625,"978-951-50-2112-0","2011","2013"
"638"," 84.2 JÄ","Atkinson, Kate.","Ihan tavallisena päivänä",878,"978-951-50-2112-0","01","2012"
"639"," 84.2 JÄ","Bagge, Tapani.","Musta pyörre",566,"978-952-5918-72-4","2012","2012"
"640"," 84.2 JÄ","Bergström, Gunilla.","Mikko Mallikas on oikukas",541,"978-951-31-1010-9","01","2012"
"641"," 84.2 JÄ","Blake, Sarah.","Jos saat tämän kirjeen",613,"978-952-5637-83-0","01","2013"
"642"," 84.2 JÄ","Bradman, Tony.","Kanerva Keijun taikaloitsu",682,"978-951-883-065-1","1992","2012"
"643"," 84.2 JÄ","Bradman, Tony.","Muumiot tv-tähtinä",530,"951-882-634-X","01","2012"
"644"," 84.2 JÄ","Bushnell, Candace.","Hissillä huipulle",511,"978-951-31-6602-1","2011","2012"
"645"," 84.2 JÄ","Chamberlain, Diane.","Valheiden takaa",873,"978-951-0-39100-6","01","2013"
"646"," 84.2 JÄ","Child, Lauren.","Himpun verran näkymätön",589,"978-951-0-37830-4","2011","2012"
"647"," 84.2 JÄ","Child, Lincoln.","Kuoleman algoritmi",728,"978-951-20-8557-6","01","2012"
"648"," 84.2 JÄ","Collins, Suzanne.","Nälkäpeli",482,"978-951-0-38731-3","01","2013"
"649"," 84.2 JÄ","Collins, Suzanne.","Nälkäpeli. Matkijanärhi",661,"978-951-0-35830-6","01","2013"
"650"," 84.2 JÄ","Cousins, Lucy.","Maisa lähtee lomalle",671,"978-951-0-36285-3","01","2012"
"651"," 84.2 JÄ","Dahl, Kjell Ola.","Ystävyyden muisto",565,"978-952-01-0493-1","01","2012"
"652"," 84.2 JÄ","Donaldson, Julia.","Urhea pikku Mörkyli",497,"951-882-450-9","01","2012"
"653"," 84.2 JÄ","Dorrestein, Renate.","Hyvä äitipuoli",559,"978-951-0-39414-4","2013","2013"
"654"," 84.2 JÄ","Ehrnrooth, Karin.","Vinoon varttunut tyttö",746,"978-951-20-8606-1","01","2012"
"655"," 84.2 JÄ","Ellilä, Kirsti.","Ristiaallokkoa",602,"978-951-23-5375-0","01","2012"
"656"," 84.2 JÄ","Goodhart, Pippa.","Kakkutesti",582,"978-951-882-862-7","2008","2012"
"657"," 84.2 JÄ","Guinness world records 2011","Guinness world records 2011",872,"978-951-32-2996-2","2012","2012"
"658"," 84.2 JÄ","Haahti, Taina.","Kaikki mitä tiedän huomisesta",564,"978-952-234-051-1","01","2012"
"659"," 84.2 JÄ","Hallberg, Lin.","Eppu etsii kotia",961,"978-951-31-6495-9","2013","2013"
"660"," 84.2 JÄ","Hammer, Lotte.","Kaikella on hintansa",522,"978-952-5637-24-3","01","2012"
"661"," 84.2 JÄ","Havukainen, Aino.","Veera ja menopelit",1145,"951-1-16562-3","01","2012"
"662"," 84.2 JÄ","Hill, Eric.","Puppe menee juhliin",553,"951-1-12330-0","2011","2013"
"663"," 84.2 JÄ","Hill, Eric.","Puppe saa pikkusiskon",635,"951-1-10827-1","1990","2012"
"664"," 84.2 JÄ","Hill, Eric.","Puppe yökylässä",564,"951-1-11436-0","01","2012"
"665"," 84.2 JÄ","Howard, Linda.","Vieressä ja vaarassa",761,"978-951-0-37775-8","2011","2012"
"666"," 84.2 JÄ","Huovi, Hannele.","Urpo ja Turpo avaruudessa",516,"978-951-31-5860-6","01","2012"
"667"," 84.2 JÄ","Jaakkola, Kaisa.","Hormonitasapaino : opas energiseen elämään",525,"978-951-31-6808-7","01","2013"
"668"," 84.2 JÄ","James, E. L.","Fifty shades. 2, Satutettu",549,"978-951-1-26857-4","01","2013"
"669"," 84.2 JÄ","James, Peter.","Kuolema katsoo kohti",577,"978-952-492-458-0","01","2012"
"670"," 84.2 JÄ","Kaarla, Riina.","Muumipeikko seilaa : luukkukirja!",500,"978-951-31-5958-0","01","2013"
"671"," 84.2 JÄ","Kallioniemi, Tuula.","Konsta leirikoulussa",635,"978-951-1-26490-3","2006","2013"
"672"," 84.2 JÄ","Kallioniemi, Tuula.","Konsta, tokaluokkalainen",536,"951-1-21222-2","01","2013"
"673"," 84.2 JÄ","Kallioniemi, Tuula.","Konsta, tokaluokkalainen",557,"951-1-21222-2","01","2012"
"674"," 84.2 JÄ","Kallioniemi, Tuula.","Reuhurinne. 1",489,"978-951-1-22372-6","2012","2013"
"675"," 84.2 JÄ","Kanniainen, Esa-Pekka.","Pimeä korpi",559,"978-951-23-5429-0","01","2012"
"676"," 84.2 JÄ","Kanto, Anneli.","Kastehelmi Virtanen ja oma tahto",576,"978-951-23-5536-5","01","2012"
"677"," 84.2 JÄ","Kanto, Anneli.","Pusu ja pokaali",560,"978-951-23-5627-0","2012","2013"
"678"," 84.2 JÄ","Kanto, Anneli.","Vilma Virtanen ja uimataito",607,"978-951-23-5291-3","01","2012"
"679"," 84.2 JÄ","Kinney, Jeff.","Neropatin päiväkirja. 2, Isoveli isottelee : Greg Heffleyn julkaisu",528,"978-951-0-36036-1","2012","2012"
"680"," 84.2 JÄ","Korolainen, Tuula.","Kissa Killi ja Sottapytty",519,"978-951-31-4700-6","2010","2012"
"681"," 84.2 JÄ","Korolainen, Tuula.","Kissa Killin kiukkupussi",614,"978-951-31-3896-7","01","2012"
"682"," 84.2 JÄ","Koskimies, Pirkko.","Pupu Tupuna lomalla",638,"978-951-32-3369-3","01","2013"
"683"," 84.2 JÄ","Koskimies, Pirkko.","Pupu Tupuna päiväkerhossa",535,"978-951-32-3101-9","01","2012"
"684"," 84.2 JÄ","Kunnas, Mauri.","Etusivun juttu, eli, Kuinka sanomalehti syntyy",739,"978-951-1-11442-0","01","2012"
"685"," 84.2 JÄ","Kunnas, Mauri.","Majatalon väki ja kaappikellon kummitukset",762,"951-1-14424-3","01","2012"
"686"," 84.2 JÄ","Läckberg, Camilla.","Merenneito",902,"978-951-20-8353-4","01","2013"
"687"," 84.2 JÄ","LaPlante, Alice.","Hämärän huoneet",651,"978-951-1-25446-1","01","2012"
"688"," 84.2 JÄ","Lehtinen, Tuija.","Nappikaupan naiset",593,"978-951-1-23936-9","01","2013"
"689"," 84.2 JÄ","Lehtolainen, Leena.","Paholaisen pennut",1304,"978-951-31-6827-8","01","2012"
"690"," 84.2 JÄ","Lennox, Judith.","Yöntummat vuodet",708,"978-951-0-37967-7","01","2012"
"691"," 84.2 JÄ","Liksom, Rosa.","Hytti nro 6 : kertomus",836,"978-951-0-38274-5","01","2013"
"692"," 84.2 JÄ","Lindgren, Astrid.","Ronja, ryövärintytär",598,"951-0-10855-3","2012","2013"
"693"," 84.2 JÄ","Lius, Tuomas.","Härkäjuoksu",579,"978-952-01-0629-4","2008","2012"
"694"," 84.2 JÄ","Louhi, Kristiina.","Aino ja Pakkasen Poika",494,"951-30-9415-4","01","2012"
"695"," 84.2 JÄ","Lukkarila, Päivi.","Tsemppiä, Venla!",476,"978-951-23-5597-6","2012","2013"
"696"," 84.2 JÄ","Madagascar.","Madagascar [Videotallenne].",497,"7332505000197","01","2012"
"697"," 84.2 JÄ","Matintupa, Tuula T.","Laululintu : jännitysromaani",555,"978-951-883-488-8","01","2013"
"698"," 84.2 JÄ","Meyer, Stephenie.","Uusikuu",695,"978-951-0-33252-8","2011","2012"
"699"," 84.2 JÄ","Míler, Zdeněk.","Myyrä ja sateenvarjo",616,"978-951-31-3340-5(sid.)","01","2013"
"700"," 84.2 JÄ","Míler, Zdeněk.","Myyrä ja sateenvarjo",710,"978-951-31-3340-5(sid.)","2011","2012"
"701"," 84.2 JÄ","Moran, Paul.","Missä mangusti luuraa?",526,"978-951-20-8974-1","01","2013"
"702"," 84.2 JÄ","Mustonen, Enni.","Morsiuskesä",794,"978-951-1-23839-3","2011","2012"
"703"," 84.2 JÄ","Niemelä, Reetta.","Tikkumäen talli",596,"978-951-1-24909-2","2008","2012"
"704"," 84.2 JÄ","Nopola, Sinikka.","Heinähattu, Vilttitossu ja kielletty kampela",476,"951-31-3412-1","01","2013"
"705"," 84.2 JÄ","Nopola, Sinikka.","Matkustan melko harvoin ja muita kirjoituksia",933,"978-951-0-39078-8","01","2012"
"706"," 84.2 JÄ","Nousiainen, Miika.","Vadelmavenepakolainen",584,"978-951-1-22090-9","01","2013"
"707"," 84.2 JÄ","Pättikangas, Eira.","Olkileijona murisee",502,"951-23-3575-1","2012","2013"
"708"," 84.2 JÄ","Persson, Leif G. W.","Edunsaajat",508,"978-951-1-26224-4","2011","2012"
"709"," 84.2 JÄ","Perttula, Pirkko-Liisa.","Kummitusperhe Kammoset kesälaitumilla",604,"978-951-1-24224-6","01","2013"
"710"," 84.2 JÄ","Peyo.","Kohti seikkailuja",492,"978-951-1-23088-5","2007","2012"
"711"," 84.2 JÄ","Pilkey, Dav.","Kapteeni Kalsari ja violetin vessan väen vinha vahinko",938,"978-951-31-3831-8","01","2012"
"712"," 84.2 JÄ","Pilkey, Dav.","Kapteeni Kalsari ja violetin vessan väen vinha vahinko",980,"978-951-31-3831-8","01","2013"
"713"," 84.2 JÄ","Reichs, Kathy.","Paholaisen luut",557,"978-951-0-39099-3","2011","2013"
"714"," 84.2 JÄ","Reichs, Kathy.","Paholaisen luut",638,"978-951-0-39099-3","01","2012"
"715"," 84.2 JÄ","Roberts, Nora.","Jotain lainattua",566,"978-951-20-8225-4","01","2013"
"716"," 84.2 JÄ","Roberts, Nora.","Jotain uutta",806,"978-951-20-8134-9","01","2012"
"717"," 84.2 JÄ","Roberts, Nora.","Keskipäivän polte",498,"978-951-20-8021-2","01","2012"
"718"," 84.2 JÄ","Rooney, Anne.","Kadonnut sukka",513,"978-951-883-200-6","01","2012"
"719"," 84.2 JÄ","Rosnay, Tatiana de.","Viimeinen kesä",640,"978-951-0-36062-0","2011","2012"
"720"," 84.2 JÄ","Rowling, J. K.","Harry Potter ja kuoleman varjelukset",922,"978-951-31-4004-5","2010","2012"
"721"," 84.2 JÄ","Sinivaara, Irja.","Kevään hämärä",650,"978-951-31-6285-6","01","2012"
"722"," 84.2 JÄ","Smith, Wilbur.","Vaaran vesillä",850,"978-951-1-25740-0","01","2012"
"723"," 84.2 JÄ","Soininvaara, Taavi.","Valkoinen kääpiö",682,"978-951-1-26322-7","01","2012"
"724"," 84.2 JÄ","Steel, Danielle.","Kunnioita itseäsi",603,"978-951-0-37192-3","01","2013"
"725"," 84.2 JÄ","Stevens, Chevy.","Kadonnut",488,"978-952-5637-53-3","2010","2012"
"726"," 84.2 JÄ","Stine, R. L.","Nukkeni mun",571,"978-951-0-34437-8","2006","2013"
"727"," 84.2 JÄ","Tison, Annette.","Barbapapa",629,"951-1-07044-4","01","2012"
"728"," 84.2 JÄ","Tison, Annette.","Barbapapan teatteri",705,"978-951-1-22417-4","01","2012"
"729"," 84.2 JÄ","Tuomaala, Eero.","Sissipartio Säämäjärvelle",545,"978-951-31-6324-2","2012","2012"
"730"," 84.2 JÄ","Tuomainen, Antti.","Parantaja",590,"978-952-5874-09-9","2009","2012"
"731"," 84.2 JÄ","Tuuri, Antti.","Bospor Express : kertomus matkasta",935,"978-951-1-26329-6","01","2013"
"732"," 84.2 JÄ","Tuuri, Antti.","Rata : kertomus",510,"978-951-1-24566-7","01","2012"
"733"," 84.2 JÄ","Väisänen, Hannu.","Taivaanvartijat : romaani",967,"978-951-1-24802-6","2009","2013"
"734"," 84.2 JÄ","Valtaoja, Esko.","Kaiken käsikirja : mitä jokaisen tulisi tietää?",895,"978-952-5985-05-4","2011","2013"
"735"," 84.2 JÄ","Verronen, Maarit.","Varjonainen",702,"978-951-31-7135-3","01","2013"
"736"," 84.2 JÄ","Widmark, Martin.","Kullan arvoitus",509,"951-31-3763-5","01","2013"
"737"," 84.2 JÄ","Widmark, Martin.","Syntymäpäivän arvoitus",527,"978-951-31-7277-0","2009","2013"
"738"," 84.2 JÄ","Wolde, Gunilla.","Teemu ja kissa",508,"951-30-9070-1","01","2012"
"739"," 84.2 JÄ","Worth, Jennifer.","Hakekaa kätilö!",789,"978-951-1-26861-1","2013","2013"
"740"," 84.2 Jän","Aho, Elisabet.","Sisar : historiallinen romaani vuosilta 1918-1924",613,"978-951-1-25158-3","2000","2012"
"741"," 84.2 Jän","Baldacci, David.","Oikeuden vaalijat",505,"978-951-20-8806-5","01","2012"
"742"," 84.2 Jän","Connelly, Michael.","Viides todistaja",578,"978-951-20-8876-8","2011","2013"
"743"," 84.2 Jän","Heymans, Bas.","Taistelupari",488,"978-951-32-2884-2","2010","2012"
"744"," 84.2 Jän","I completely know about guinea pigs","Minä tiedän marsuista vaikka mitä",504,"978-951-0-35526-8","2010","2012"
"745"," 84.2 Jän","Kallioniemi, Tuula.","Konsta, kovanaama",524,"978-951-1-23725-9","01","2013"
"746"," 84.2 Jän","Kallioniemi, Tuula.","Pusuja ja pulmia : Reuhurinteen ala-aste",656,"951-1-15381-1","01","2012"
"747"," 84.2 Jän","Kinsella, Sophie.","Minishoppaaja",610,"978-951-0-37191-6","01","2012"
"748"," 84.2 Jän","Koskimies, Pirkko.","Pupu Tupuna tavaratalossa",495,"978-951-32-2584-1","01","2013"
"749"," 84.2 Jän","Orkoma, Marja.","Unikkopolku 21",782,"978-951-883-080-4","01","2012"
"750"," 84.2 Jän","Palmgren, Reidar.","Sudenmarja : romaani",659,"978-951-1-26487-3","01","2012"
"751"," 84.2 Jän","Pfister, Marcus.","Sateenkaarikala tutkii meren syvyyksiä",539,"978-951-627-827-1","01","2012"
"752"," 84.2 Jän","Rooney, Anne.","Ihan likainen!",511,"978-951-883-202-0","2011","2013"
"753"," 84.2 Jän","Sandberg, Timo.","Kalmankokko : rikosromaani",712,"978-951-23-5374-3","2012","2012"
"754"," 84.2 JÄN","","Bart Simpson : kepposten prinssi",530,"978-952-220-413-4","01","2013"
"755"," 84.2 JÄN","","Simpsonit : jytkypaukku",577,"978-952-220-412-7","01","2012"
"756"," 84.2 JÄN","","Toshiba [Esine] : Satellite U400.",560,"","01","2012"
"757"," 84.2 JÄN","Bagge, Tapani.","Vihreän linnun arvoitus",799,"978-951-31-7213-8","01","2013"
"758"," 84.2 JÄN","Barks, Carl.","Suuret setelit",506,"978-951-32-2690-9","01","2013"
"759"," 84.2 JÄN","Bergen, Lara.","Lumoavat ratsut",477,"978-951-32-2491-2","01","2013"
"760"," 84.2 JÄN","Child, Lee.","Etsintäkuulutettu",574,"978-951-23-5677-5","01","2013"
"761"," 84.2 JÄN","Clark, Mary Higgins.","Perinnön varjo",678,"978-951-31-5892-7","2008","2013"
"762"," 84.2 JÄN","Cook, Robin.","Henkivakuutus",484,"978-951-20-8813-3","01","2013"
"763"," 84.2 JÄN","Cousins, Lucy.","Maisa lähtee lomalle",629,"978-951-0-36285-3","01","2013"
"764"," 84.2 JÄN","Fine, Anne.","Aamu ilman äitiä",505,"978-951-882-807-8","01","2013"
"765"," 84.2 JÄN","Gardell, Jonas.","Älä koskaan pyyhi kyyneleitä paljain käsin. 1, Rakkaus",525,"978-951-0-39777-0","01","2013"
"766"," 84.2 JÄN","Gerritsen, Tess.","Jääkylmä",537,"978-951-1-24520-9","01","2012"
"767"," 84.2 JÄN","Grisham, John.","Puhallus",791,"978-951-0-39778-7","2011","2013"
"768"," 84.2 JÄN","Häkämies, Kari.","Poliittinen ruumis",638,"978-952-5918-74-8","01","2012"
