Hyllypaikka,Tekijä,Nimeke,ISBN/ISSN,Julkaisuvuosi,Lainojen lkm.
84.2,"Hautamäki, Ata.",Kohtalona Rauhaniemi : jännitysromaani,978-952-202-442-8,2013,757
84.2 D,"Tabet, Sirpa.",Kaikki kaupan,978-952-289-109-9,2013,756
84.2,"Härkönen, Anna-Leena.",Takana puhumisen taito,978-952-67705-2-9,2014,755
84.2,"Flynn, Gillian.",Paha paikka,978-951-0-40118-7,2014,755
84.2,"Kallioniemi, Tuula.",Faneja ja fossiileja : [Reuhurinne],978-951-1-27300-4,2013,753
84.2,"Jokinen, Seppo.",Suurta pahaa,951-23-4530-7,2004,751
84.2,"Arhippa, Pirkko.",Kihlaava kuolema : jännitysromaani,978-951-883-407-9,2012,750
84.2,"Pättikangas, Eira.",Vuodet kuin unta,978-951-23-5618-8,2013,749
84.2,"Cornwell, Patricia.",Paljaat luut,978-951-1-27348-6,2013,749
84.2,"Kinsella, Sophie.",Hääyöaie,978-951-0-40268-9,2014,745
84.2,"Oksanen, Sofi.",Puhdistus : romaani,978-951-0-33973-2,2008,745
84.2,"Hislop, Victoria.",Elämänlanka,978-952-279-050-7,2014,743
84.2,"Hustvedt, Siri.",Säihkyvä maailma,978-951-1-27901-3,2014,743
84.2 H ,"Widmark, Martin.",Koulun arvoitus,978-951-31-4745-7,2010,742
84.2,"Knutsson, Gösta, kirjoittaja.",Pekka Töpöhäntä urheilukilpailuissa,951-20-3974-5,1992,742
84.2,"Mäki, Reijo.",Sheriffi,978-951-1-26321-0,2012,741
84.2 H,"Parvela, Timo.",Ella ja kaverit karkaavat koulusta,978-951-31-7994-6,2014,740
85.22,"Kanto, Anneli.",Veera Virtanen ja esikoulu,978-951-23-5657-7,2013,740
84.2 JÄN,"Leon, Donna.",Turvasatama,978-951-1-26507-8,2013,739
84.2,"Paasilinna, Mauri.",Kannakselta kotiin,978-951-20-9306-9,2013,738
84.2,"Autere, Terttu.",Kuka murhasikaan rouva Holmin?,978-951-23-5765-9,2014,738
84.2,"Jokinen, Seppo.",Kuka sellaista tekisi,978-951-23-5000-1,2008,738
84.2,"Nesbø, Jo.",Aave,978-951-0-38712-2,2012,737
85.22 KU,"Míler, Zdenk.",Myyrän raketti,951-31-2006-6,2004,737
84.2,"Lehtolainen, Leena, kirjoittaja.",Oikeuden jalopeura,978-951-31-6219-1,2011,736
84.2,"Lehtinen, Tuija.",Miss Seinäruusu,978-951-1-25511-6,2011,735
65.8,"Lipkowitz, Daniel.",LEGO ideakirja : rakenna mitä vain,978-951-0-38845-7,2012,735
84.2,"Sarkola, Ritva.",Katkerat muistot : jännitysromaani,978-952-202-457-2,2013,734
84.2 D,"Adler-Olsen, Jussi.",Pullopostia,978-951-20-9279-6,2014,734
85.22,"Kunnas, Mauri.","Etusivun juttu, eli, Kuinka sanomalehti syntyy",978-951-1-11442-0,1990,733
84.2,"Kytömäki, Anni.",Kultarinta,978-951-20-9484-4,2014,731
84.2,"Kallioniemi, Tuula.",Aaveita ja avaruusolentoja,978-951-1-26326-5,2012,728
84.2,"Baker, Jo.",Longbournin talossa,978-951-31-7642-6,2014,728
85.22,"Míler, Zdenk.",Myyrän auto,951-31-1712-X,1999,728
84.2,"Widmark, Martin.",Hotellin arvoitus,951-31-3030-4,2004,728
84.2,"Mina, Denise.",Valheiden varjo,978-952-01-1013-0,2014,727
77.4983,"Reynolds, David West.",Star wars : episodit I-VI : kuvitettu opas,978-951-0-33253-5,2007,726
84.2,"Parvela, Timo.",Ella ja Paterock,951-31-3130-0,2004,726
84.2,"Roberts, Nora.",Avaimet onneen,978-951-20-8809-6,2012,724
84.2,"Simukka, Salla.",Punainen kuin veri,978-951-31-7123-0,2013,724
3,Guinness world records 2011,Guinness world records 2011,978-951-32-2996-2,2010,724
84.2,"Connelly, Michael.",Luottamuksen hinta,978-951-20-9250-5,2013,723
84.2 JÄN,"Sten, Viveca.",Sisäpiirissä,978-951-0-39674-2,2013,721
84.2,"Sipilä, Jarkko.",Muru,978-952-5918-24-3,2011,721
84.2,"Remes, Ilkka.",Ylösnousemus,978-951-0-39388-8,2012,719
84.2,"Härkönen, Anna-Leena.",Onnen tunti,978-951-1-25272-6,2011,719
85.22,"Kunnas, Mauri.",Yökirja eli mitä kaikkea tapahtuukaan yöllä,951-1-08044-X,1984,717
84.2,"Kesävuori, Saara.",Kuningas,978-951-31-7647-1,2014,716
85.22,"Nopola, Tiina.",Siiri ja hurja Hunskeli,978-951-31-3900-1,2008,715
85.22 KU,"Knutsson, Gösta.",Pekka Töpöhäntä Amerikassa,951-20-3981-8,1992,712
84.2,"Orkoma, Marja.",Puistotie 4,978-951-883-344-7,2012,710
85.22 KU,"Kunnas, Mauri.",Majatalon väki ja kaappikellon kummitukset,951-1-14424-3,1996,710
84.2,"Kivelä, Anneli.",Katajamäki yllättyy,978-951-23-5386-6,2011,709
84.2,"Adler-Olsen, Jussi.",Metsästäjät,978-951-20-8550-7,2013,709
84.2,"Larsson, Åsa.",Uhrilahja,978-951-1-25369-3,2012,707
84.2 HELPPO,"Parvela, Timo.",Paten aikakirjat,978-951-31-7800-0,2014,706
84.2 D,"Jokinen, Seppo.",Vilpittömässä mielessä,951-23-4424-6,2003,706
84.2,"Edwardson, Åke.",Talo maailman laidalla,978-952-01-0867-0,2013,705
85.22,"Knutsson, Gösta.",Pekka Töpöhäntä teatterissa,951-20-3982-6,2001,705
84.2 JÄN,"Sandberg, Timo.",Mustamäki : jännitysromaani,978-951-23-5693-5,2013,705
84.2,"Utrio, Kaari.",Oppinut neiti,978-952-5330-41-0,2011,702
84.2,"Tuominen, Pirjo.",Tuonelan joutsen,978-951-31-6218-4,2011,702
84.2,"Ohlsson, Kristina.",Varjelijat,978-951-0-39692-6,2013,701
84.2,"Ohlsson, Kristina.",Paratiisiuhrit,978-951-0-39698-8,2014,700
84.2,"Grisham, John.",Puhallus,978-951-0-39778-7,2013,700
84.2 D,"Lehtolainen, Leena.",Henkivartija,978-951-31-4530-9,2009,700
84.2,"Bagge, Tapani.",Havannan kuu,978-952-289-135-8,2014,700
84.2,Arnaldur Indriðason.,Mestaruusottelu,978-952-5410-77-8,2013,700
84.2,"Cussler, Clive.",Poseidonin nuoli,978-951-0-39667-4,2013,699
84.2,"Slaughter, Karin.",Rikollinen,978-951-31-7560-3,2014,698
84.2,"Kähkönen, Sirpa.",Graniittimies,978-951-1-28097-2,2014,697
85.22,"Knutsson, Gösta.",Pekka Töpöhäntä tivolissa,951-20-3975-3,1992,697
99.1,"Montonen, Pia Maria.",Valtakunnan miniä : Brita Kekkonen,978-951-0-40241-2,2014,694
85.22,"Kanto, Anneli.",Vilma Virtanen ja uimataito,978-951-23-5291-3,2011,694
84.2 NOV,"Kettu, Katja.",Piippuhylly : novelleja,978-951-0-39392-5,2013,694
84.2,"Kyrö, Tuomas.",Kerjäläinen ja jänis,978-952-234-068-9,2011,693
84.2,"Roberts, Nora, kirjoittaja.",Varjojen ratsu,978-951-20-9627-5,2014,692
85.22,"Nopola, Tiina.",Siiri ja lumimies,978-951-31-6846-9,2012,691
84.2 H ,"Parvela, Timo.",Ella ja kaverit juhlatuulella,978-951-31-5719-7,2010,691
85.22,"Nopola, Tiina, kirjoittaja.",Siiri ja kamala possu,951-31-3417-2,2005,691
84.2,"Lehtinen, Lasse.",Hiihtävä hautaustoimisto : romaani,978-952-299-000-6,2013,690
84.2,"Munro, Alice.",Kallis elämä : kertomuksia,978-951-31-7271-8,2013,689
85.22 KU,"Knutsson, Gösta.",Pekka Töpöhännän silakkaretki,951-20-3970-2,1992,688
84.2,"Pulkkinen, Riikka.",Vieras,978-951-1-25640-3,2012,686
85.22,"Kaarla, Riina.",Täältä tulee Pikku Myy : Muumipeikon talo,978-951-31-6995-4,2013,685
84.2 D,"Numminen, Juha.",Vaikenemisen hinta : rikosromaani,978-952-289-044-3,2013,684
84.2,"Börjlind, Cilla.",Nousuvesi,978-951-52-3246-5,2013,684
17.3,"Kalaoja, Katri Helena.",Taivaan tie,978-951-1-28192-4,2014,683
85.22,"Bergström, Gunilla.",Mikko Mallikas tulee iloiseksi,978-951-31-0395-8,1994,683
84.2 JÄN,"Vala, Vera.",Villa Sibyllan kirous,978-951-20-9645-9,2014,678
84.2,"Tegenfalk, Stefan.",Koston vanki,978-952-5637-87-8,2014,678
84.2,"Ragde, Anne B.",Aion tehdä sinut onnelliseksi,978-951-31-6608-3,2013,677
84.2 H,"Widmark, Martin.",Sahramin arvoitus,978-951-31-5233-8,2011,676
85.22,"Kunnas, Mauri.",Koiramäen Martta ja Ruuneperi,951-1-20516-1,2005,673
84.2,"Luhtanen, Sari.",Kaikkea kaunista,978-951-31-6599-4,2012,671
84.2 JÄN,"Tuomola, Johanna.",Murhaaja vierelläsi : jännitysromaani,978-952-202-425-1,2013,669
84.2,"Jalo, Merja.",Jesse kylpyläkoira,978-951-0-39349-9,2013,667
85.22,"Cousins, Lucy.",Maisan kaupunkiloma,978-951-0-37744-4,2011,666
84.2,"Rowling, J. K.",Harry Potter ja Feeniksin kilta,978-951-31-2907-1,2004,664
85.22,"Marsoli, Lisa.",Lentsikat,978-951-32-3770-7,2013,664
84.2,"Steel, Danielle.",Päivä kerrallaan,978-951-0-38874-7,2012,663
85.22 KU,"Bergström, Gunilla.",Mikko Mallikas menee kouluun,951-31-0893-7,1996,662
85.22,"Cousins, Lucy.",Maisa menee elokuviin,978-951-0-40349-5,2014,662
77.4983,,Hyvän ja pahan ikuinen taistelu : [2 tarinaa],978-951-0-39923-1,2013,662
84.2,"Sund, Erik Axl.",Unissakulkija,978-951-1-28216-7,2014,661
84.2 JÄN,"Lindell, Unni.",Sokerivalhe,978-951-0-39519-6,2013,661
84.2,"Kivelä, Anneli.",Salaisuuksia Katajamäellä,978-951-23-5241-8,2010,660
84.2,"Roberts, Nora.",Valkokankaan varjot,978-951-20-8411-1,2012,659
84.2,"Jansson, Anna.",Unissakävelijä,978-951-20-8262-9,2011,659
84.2,"McCall Smith, Alexander.",Häähuumaa lauantaina,978-951-1-26228-2,2013,659
84.2 HL,"Goodhart, Pippa.",Jojon syntymäpäivä,951-882-517-3,2005,657
85.22,"Nopola, Tiina.",Siiri ja sotkuinen Kerttu,978-951-31-3114-2,2004,657
85.22 KU,"Kunnas, Mauri.",Herra Hakkaraisen numerot,951-1-19740-1,2004,657
85.22,"Knutsson, Gösta.",Pekka Töpöhännän laivaretki,951-20-3969-9,2000,657
84.2,"Lehtinen, Tuija.",Kolme miestä netissä,978-951-1-24573-5,2010,656
85.22,"Bagge, Tapani.",Kadonneen aarteen arvoitus,978-951-31-7607-5,2014,656
84.2,"Jungstedt, Mari.",Hiljaisuuden hinta,978-951-1-24514-8,2012,655
84.2,"Leino, Marko.",Saasta,978-951-851-556-5,2013,651
84.2 JÄN,"Hiekkapelto, Kati.",Kolibri,978-951-1-26732-4,2013,651
84.2 D,"Rosman, Ann.",Porto Francon vartija,978-952-279-015-6,2013,649
84.2 D,"Remes, Ilkka, kirjoittaja.",Horna,978-951-0-40702-8,2014,648
84.2,"Bradley, Alan.",Piiraan maku makea,978-952-279-051-4,2014,648
84.2,"Widmark, Martin.",Sirkuksen arvoitus,951-31-3031-2,2005,646
84.2,"Härkönen, Anna-Leena.",Ei kiitos,978-951-1-22921-6,2008,646
85.22,"Harjanne, Maikki.",Minttu urheilee,978-951-1-25427-0,2012,645
85.22 KU,"Knutsson, Gösta.",Pekka Töpöhäntä käy koulua,951-20-3973-7,1992,641
84.2,"Koivisto, Jari.",Miina ja Manu sirkuksessa,978-951-866-865-0,2013,639
84.2,"Perttula, Pirkko-Liisa.",Kummitusperhe Kammoset koulutiellä,978-951-1-25119-4,2011,639
85.22,"Nopola, Tiina.",Siiri ja yläkerran Onni,951-31-2816-4,2003,638
85.22,"Harjanne, Maikki.",Minttu ja mummo,978-951-1-24281-9,2010,638
84.2,"MacMahon, Kathleen.",Näin se päättyy,978-952-5637-97-7,2013,637
14.4,"Aron, Elaine N.",Erityisherkkä ihminen,978-952-240-214-1,2013,637
85.22,"Hill, Eric.",Puppe osaa laskea,951-1-16277-2,1999,637
84.2,"Kepler, Lars.",Tulitodistaja : rikosromaani,978-951-31-6651-9,2012,636
85.22,"Kaarla, Riina.",Täältä tulee Pikku Myy : villit vieraat,978-951-31-6265-8,2011,636
84.2 D,"Lehtolainen, Leena.",Minne tytöt kadonneet,978-951-31-5625-1,2010,636
84.2,"Smith, Wilbur.",Noidankehä,978-951-1-27767-5,2013,636
85.22,"Bergström, Gunilla.",Mikko Mallikas ja sisukas muurahainen,951-31-3555-1,2006,635
85.22,"Koskimies, Pirkko.",Pupu Tupuna lomalla,978-951-32-3369-3,2012,635
99.15,"Worth, Jennifer.","Hakekaa kätilö!. 2, Kaupungin varjoissa /",978-951-1-27830-6,2014,634
84.2 D,"Johansson, J. K.",Laura,978-951-31-7005-9,2013,634
84.2,"Jokinen, Seppo.",Hukan enkelit,978-951-23-4229-7,2001,634
84.2 JÄN,"Crais, Robert.",Vartija,978-951-23-5574-7,2013,634
85.22,"Bergström, Gunilla.",Mikko Mallikas punoo juonia,978-951-31-3843-1,2007,633
85.22,"Louhi, Kristiina.",Tompan uusi koti,978-951-31-6578-9,2012,633
85.22,"Kunnas, Mauri.",Ujo Elvis,951-1-18988-3,2003,630
84.2,"Russell, Rachel Renée.","Nolo elämäni. 3, Olisinpa poptähti /",978-951-32-3527-7,2013,630
84.2 D,"Nesbø, Jo.",Kukkulan kuningas,978-951-0-34705-8,2009,629
84.2,"Widmark, Martin.",Kahvilan arvoitus,951-31-3032-0,2005,629
85.22,"Kanto, Anneli.",Perttu Virtanen ja kauhea kateus,978-951-23-5603-4,2012,628
85.22,"Harjanne, Maikki.",Minttu prinsessana,978-951-1-22235-4,2009,628
84.2,"Adler, Elizabeth.",Barcelonan katujen kuiske,978-951-20-9123-2,2013,627
84.2 D,"Mankell, Henning.",Savuna ilmaan,978-951-1-23943-7,2010,627
84.2,"Soininvaara, Taavi.",Teräsarkku,978-951-1-27646-3,2014,625
85.22,Moomin and the little ghost.,Muumi ja pikku aave,978-951-0-40196-5,2013,625
84.2 VI,,Lunttaava laiskiainen : 400 uutta koululaisvitsiä,978-951-1-25543-7,2011,625
85.22,"Louhi, Kristiina.",Tomppa ja kummaa,978-951-31-4630-6,2009,624
84.2,"Paloheimo, Laura.",OMG,978-951-1-27373-8,2013,624
84.2,"Wallace, Karen.",Munavarkaita,978-951-883-285-3,2012,623
85.12 H,"Bradman, Tony.",Kanerva Keijun taikaloitsu,978-951-883-065-1,2010,622
84.2 D,"Nesser, Håkan.",Herra Roosin tarina : rikosromaani,978-951-31-7110-0,2013,621
85.22,"Hill, Eric.",Puppe sirkuksessa,951-1-09034-8,1987,621
85.22,"Kunnas, Mauri.","Riku, Roope ja Ringo : värikäs päivä",978-951-1-25803-2,2012,618
85.22,"Cousins, Lucy.",Maisa menee yökylään,978-951-0-38994-2,2012,618
84.2,"Gardell, Jonas.","Älä koskaan pyyhi kyyneleitä paljain käsin. 2, Sairaus /",978-951-0-40286-3,2014,618
84.2,"Hammer, Lotte.",Yksinäisten sydänten kerho,978-952-279-060-6,2013,618
85.22,"Wallace, Karen.",Kiiltävät johtolangat,978-951-883-270-9,2011,617
85.22,"Huovi, Hannele.","Urpo, Turpo ja hirveä Irvisaurus",978-951-31-7143-8,2013,615
85.22,"Cousins, Lucy.",Maisa opettelee uimaan,978-951-0-39779-4,2012,615
84.2,"James, Peter.",Kuolema kulkee kulisseissa,978-952-492-841-0,2014,615
84.2 Huumori,,Hai haarukassa,978-951-1-23791-4,2009,615
84.2,"Malvaldi, Marco.",Viiden korttipeli,978-951-31-7100-1,2014,615
85.22,"Havukainen, Aino.",Veera lääkärissä,978-951-1-26046-2,2012,615
84.2,"Boyd, Hilary.",Torstaisin puistossa,978-951-23-5619-5,2013,613
85.22,"Kunnas, Mauri.",Herra Hakkaraisen aakkoset,951-1-17427-4,2001,612
84.2,"Arhippa, Pirkko.",Polku pimeään : jännitysromaani,978-951-883-277-8,2011,612
85.22 KU,"Kanto, Anneli.",Kastehelmi Virtanen ja oma tahto,978-951-23-5536-5,2012,612
84.2,"Mäki, Reijo.",Mustasiipi,978-951-1-25495-9,2011,611
62.51,"Steffensmeier, Alexander.",Suuret ajoneuvot,978-952-288-002-4,2013,611
84.2,"Sirén, Esa.",Kenttävartio Joki,978-951-20-9316-8,2013,611
84.2 Huumori,,Torakka tähtisateessa,978-951-1-24371-7,2010,610
84.2,"Kallioniemi, Tuula.",Salapoliisi Konsta,978-951-1-22449-5,2008,610
84.2,"Saraspää, Seppo.",Ministerivierailu,978-951-23-5778-9,2014,610
84.2 D,"Pakkanen, Outi.",Seuralainen,978-951-1-24571-1,2010,609
85.22,"Koivisto, Jari.",Salaperäinen lentäjä,978-951-866-802-5,2011,609
84.2 D,"Pakkanen, Outi.",Muistivirhe,978-951-1-23844-7,2009,609
84.2,"Hämeen-Anttila, Virpi.",Tapetinvärinen : toisten muistelmia,978-951-1-26448-4,2012,608
84.2,"Ravilo, Hilkka.",Terhi : romaani elämästä ja rikoksesta,978-952-202-443-5,2013,608
84.2,"Higgins, Jack.",Paholainen ottaa omansa,978-951-20-9280-2,2013,607
84.2,"Kallioniemi, Tuula.","Konsta, talenttitähti",978-951-1-25225-2,2011,607
85.22 KU,"Jennings, Sharon, kirjoittaja.",Franklin saa vieraan,978-951-31-4160-8,2008,607
84.2 H ,"Perttula, Pirkko-Liisa.",Kummitusperhe Kammoset ja kevättä kylkiluissa,978-951-1-23723-5,2009,606
85.22,Moomin and the new friend.,Muumi ja uusi ystävä,978-951-0-39437-3,2012,604
84.2,"Raittila, Hannu.",Terminaali : romaani,978-952-234-174-7,2013,603
85.22,"Wolde, Gunilla.",Sanna menee päiväkotiin,951-31-0904-6,1996,602
85.32,"Neel, Julien.",Päiväkirjaelämää,978-951-20-8461-6,2011,602
84.2,"Simukka, Salla.",Valkea kuin lumi,978-951-31-7124-7,2013,602
84.2,"Atkinson, Kate.",Elämä elämältä,978-951-52-3358-5,2014,601
84.2,"Kesävuori, Saara.",Saarroksissa,978-951-31-6852-0,2012,600
84.2,"Gerritsen, Tess.",Eloonjäänyt,978-951-1-26784-3,2012,600
84.2,"Clark, Mary Higgins, kirjoittaja.",Yksin vain,978-951-31-6116-3,2012,599
84.2,"Johansson, J. K.",Noora,978-951-31-7624-2,2014,599
85.22 KU,"Wolde, Gunilla.",Sanna ja pölynimuri,951-30-3353-8,1975,598
84.2,"Ollikainen, Milla.",Veripailakat,978-952-01-0935-6,2013,597
84.2 H ,"Perttula, Pirkko-Liisa.",Kummitusperhe Kammoset kesälaitumilla,978-951-1-24224-6,2010,597
85.22,"Wallace, Karen.",Jäljet lumessa,978-951-883-271-6,2011,596
Huumori,,Hamsterin hymypatsas,978-951-1-27408-7,2013,596
84.2 D,"Läckberg, Camilla.",Perillinen,978-951-50-1990-5,2010,595
84.2,"Oranen, Raija.",Kaiken takana Kekkonen,978-951-851-506-0,2013,594
85.22 KU,"Knutsson, Gösta.",Pekka Töpöhäntä suksilla,951-20-3971-0,1992,594
84.2,"Vala, Vera.",Kosto ikuisessa kaupungissa,978-951-20-9296-3,2013,594
84.2,"Kallioniemi, Tuula.",Pusuja ja pulmia : Reuhurinteen ala-aste,951-1-15381-1,1998,593
84.2 D,"Peura, Nina.",Yöpakkasia,978-951-883-532-8,2014,593
84.2,"Alsterdal, Tove.",Haudattu hiljaisuudessa,978-951-20-9106-5,2013,593
84.2,"Connelly, Michael.",Musta laatikko,978-951-20-9631-2,2014,593
84.2 H,"Mayfield, Sue.",Ollaan kavereita,978-951-883-518-2,2013,591
84.2 H,"Dale, Elizabeth.",Samun salainen ystävä,978-951-883-517-5,2013,591
85.22 Selkokirja,"Puranen, Tuula.",Miina ja Manu kirjastossa,978-951-866-862-9,2014,591
84.2,"Jokinen, Seppo.",Piripolkka,951-23-4320-7,2002,588
85.22,"Harjanne, Maikki.",Minttu ja paras ystävä,978-951-1-26890-1,2013,588
85.22 KU,"Bergström, Gunilla.",Mikko Mallikas panee töpinäksi,978-951-31-0894-6,1996,587
85.22,"Hill, Eric, kirjoittaja, taiteilija.",Puppe ja yllätyslahja,978-951-1-24199-7,2010,586
84.2,"Rönkä, Matti.",Väärän maan vainaja,978-951-20-8584-2,2011,584
84.2,"Widmark, Martin.",Timanttien arvoitus,951-31-3029-0,2004,584
84.2,"Kallio, Katja.",Säkenöivät hetket,978-951-1-26402-6,2013,584
85.22,"Marsoli, Lisa.",Frozen : huurteinen seikkailu,978-951-32-3868-1,2013,584
84.2 H ,"Widmark, Martin.",Junan arvoitus,978-951-31-4118-9,2009,583
84.2,"Tuomainen, Antti.",Synkkä niin kuin sydämeni,978-952-01-0841-0,2013,582
84.2,"Kivelä, Anneli.",Katajamäellä kuohuu,978-951-23-5080-3,2009,581
85.22 KU,"Bergström, Gunilla.",Mikko Mallikas ihmettelee,951-31-2536-X,2002,581
84.2,"Orkoma, Marja.",Villiruusu 6,978-951-883-217-4,2011,581
84.2,"Simsion, Graeme.",Vaimotesti,978-951-1-27296-0,2013,581
84.2,"Simukka, Salla.",Musta kuin eebenpuu,978-951-31-7629-7,2014,579
85.22,"Hill, Eric.","Hyvää yötä, Puppe",978-951-1-23642-9,2009,579
85.22,"Kunnas, Mauri.",Seitsemän tätiä ja aarre,951-1-19739-8,2004,578
84.2,"Kivelä, Anneli.",Onnenkauppaa Katajamäellä,978-951-23-4893-0,2007,578
85.22,"Kanto, Anneli.",Paavo Virtanen ja pimeys,978-951-23-5777-2,2014,577
84.2,"Pulkkinen, Riikka.",Totta,978-951-1-22965-0,2010,577
84.2,"Nykänen, Harri.",Susiraja,978-952-5918-92-2,2012,576
84.2,"James, Peter.",Kuoleman koura on kylmä,978-952-492-775-8,2013,576
84.2 HL,"French, Vivian.",Tuomo Tipun uudet kengät,951-882-519-X,2005,576
84.2,"Rissanen, Pirjo.",Muistot,978-951-20-8127-1,2010,576
85.22,"Koivisto, Jari.",Miina ja Manu Ahdin valtakunnassa,978-951-866-829-2,2012,576
85.22,"Nordqvist, Sven.",Viiru ja Kososen kukko,951-31-0861-9,1996,576
84.2,"Kaunisto, Milja.",Kalmantanssi,978-951-20-9473-8,2014,575
85.22,"Knutsson, Gösta.",Pekka Töpöhännän ystävä,951-20-3977-X,2000,574
85.22,"Koivisto, Jari.",Miina ja Manu yökylässä,978-951-866-878-0,2014,574
84.2,"Keyes, Marian.",Mercy Closen mysteeri,978-951-31-7107-0,2013,573
85.22 KU,"Bergström, Gunilla.",Mikko Mallikas on oikukas,978-951-31-1010-9,1997,572
85.22 KU,"Harjanne, Maikki.",Minttu saa oman koiran,978-951-1-21800-5,2007,572
84.2,"Liksom, Rosa.",Väliaikainen,978-952-01-1096-3,2014,571
85.22,"Appelgren, Tove.",Vesta-Linnea kuunvalossa,978-951-31-7339-5,2013,570
85.22 KU,"Hapka, Catherine.",Sofia ensimmäinen,978-951-32-3752-3,2013,570
84.2,"Rissanen, Pirjo.",Äitienpäivä,978-951-20-8479-1,2011,568
84.2,"Russell, Rachel Renée.","Nolo elämäni. 2, Olisinpa bilehile /",978-951-32-3528-4,2012,568
,"Steel, Danielle.",Lurjus,978-951-0-37778-9,2011,567
84.2,"Gardell, Jonas.","Älä koskaan pyyhi kyyneleitä paljain käsin. 1, Rakkaus /",978-951-0-39777-0,2013,567
84.2,"Jungstedt, Mari.",Kevään kalpeudessa,978-951-1-24513-1,2011,566
84.2,"Wallace, Karen.",Kadonneet kissanpennut,978-951-883-284-6,2012,565
85.22,"Hill, Eric.",Missä Puppe piileksii?,978-951-1-24198-0,2009,565
85.22,"Koivisto, Jari.",Miina ja Manu reissussa,978-951-866-851-3,2013,565
84.2,"Luhtanen, Sari.",Tuulin viemää,978-951-31-6033-3,2011,564
85.22,"Wolde, Gunilla.",Sanna lääkärissä,951-30-3926-9,1977,562
84.2 D,"Brown, Sandra.",Kova luu,978-951-31-6654-0,2012,562
84.2,"Vaahtera, Veera.","Rakkautta, vahingossa",978-951-31-7134-6,2013,562
85.22,"Cousins, Lucy.",Maisa lähtee lomalle,978-951-0-36285-3,2010,562
84.2,"Utrio, Kaari.",Vaitelias perillinen,978-951-31-4800-3,2009,561
84.2,"Sinisalo, Johanna.",Auringon ydin,978-951-851-552-7,2013,561
85.22,"Kunnas, Mauri.",Puhveli-Billin lännensirkus,951-1-15532-6,1998,559
23.31,"Alexander, Eben.",Totuus taivaasta : tiedemiehen silmiä avaava kuolemanrajakokemus,978-951-0-40067-8,2013,559
84.2,"Härkönen, Anna-Leena.",Laskeva neitsyt ja muita kirjoituksia,978-951-1-26123-0,2012,559
84.2,"Parvela, Timo.",Ella ja Pate,951-31-1632-8,1999,558
84.2,"Krefeld, Michael Katz.",Langenneet,978-952-01-1044-4,2014,555
85.22,"Cousins, Lucy.",Maisa käy kirjastossa,978-951-0-30322-1,2005,554
84.2,"Ahrnstedt, Simona.",Unelmia & yllätyksiä,978-951-23-5569-3,2013,553
84.2 D,"Arhippa, Pirkko.",Kipunuora : jännitysromaani,978-951-883-138-2,2010,552
84.2,"Russell, Rachel Renée.","Nolo elämäni. 1, Olisinpa suosittu /",978-951-32-3502-4,2012,552
L85.22,"Havukainen, Aino.",Veera ja menopelit,978-951-1-26728-7,2012,551
84.2,"Isokallio, Kalle.",Aunen ketjureaktio,978-951-31-7426-2,2013,551
85.22,"Bergström, Gunilla.","Pelkkiä solmuja, Mikko Mallikas",978-951-31-3844-8,2007,551
84.2,"Blake, Sarah.",Jos saat tämän kirjeen,978-952-5637-83-0,2013,550
84.2,"Perttula, Pirkko-Liisa.",Kummitusperhe Kammoset,978-951-1-22868-4,2008,548
84.2,"Mustonen, Enni.",Morsiuskesä,978-951-1-23839-3,2009,547
84.2 Scifi,"Collins, Suzanne.",Nälkäpeli. Matkijanärhi /,978-951-0-35830-6,2010,547
85.22,"Jennings, Sharon.",Franklin haluaa olla iso,978-951-31-5339-7,2011,547
84.2,"Kelly, Cathy.",Yksin ja yhdessä,978-951-20-8805-8,2012,547
84.2,"Jalo, Merja.",Jesse pentukoira,978-951-0-35899-3,2010,546
84.2,"Rankin, Ian.",Turvaa vailla,978-952-5410-76-1,2013,546
84.2,"Child, Lee.",Epäilty,978-951-23-5542-6,2012,546
84.2,"Hiidensalo, Venla.",Karhunpesä,978-951-1-27251-9,2014,545
84.2,"Kelly, Cathy.",Uusia alkuja,978-951-20-8957-4,2013,545
84.2,"Lehtolainen, Leena.",Viimeinen kesäyö ja muita kertomuksia,951-31-3709-0,2006,545
85.22,"Bagge, Tapani.",Rohkea pikku auto,978-951-31-7106-3,2013,545
84.2,"Green, John.",Tähtiin kirjoitettu virhe,978-951-0-39499-1,2013,545
84.2,"Jokinen, Seppo.",Koskinen ja kreikkalainen kolmio,951-23-4089-5,2000,545
84.2,"Theorin, Johan.",Sankta Psykon kasvatit,978-951-31-7322-7,2013,543
85.32,,Bart Simpson : parhaat 2013,978-952-220-662-6,2013,542
84.2,"Kuivaniemi, Mirja.",Siantappajat,978-951-31-7639-6,2014,542
85.22,"Harjanne, Maikki.",Minttu morsiusneitona,978-951-1-24734-0,2011,542
85.22,"Míler, Zdenk.",Myyrän housut,9789513116972,2001,541
84.2,"Saniee, Parinoush.",Kohtalon kirja,978-951-31-7587-0,2014,541
Jännitys,"Ropponen, Markku, kirjoittaja.",Kuhala & yöjuna,978-951-31-6598-7,2012,540
84.2,"Cleeves, Ann.",Kuolemanhiljaisuus,978-951-23-5676-8,2013,540
85.22,"Korolainen, Tuula.",Muumien värikäs päivä,978-951-31-5973-3,2011,540
85.22,"Bergström, Gunilla.",Mikko Mallikas ja Mulperi,978-951-31-2747-3,2003,539
